,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,622.5556679837755,115.04879101328255,515.7264175304027,622.5556679837755,622.5556679837755,-308.4076610691267,-308.4076610691267,-308.4076610691267,23.647286950102803,23.647286950102803,23.647286950102803,-332.05494801922947,-332.05494801922947,-332.05494801922947,0.0,0.0,0.0,314.1480069146488
1,2021-01-02,622.7802241185825,-61.45099701147426,354.8391309585174,622.7802241185825,622.7802241185825,-479.61994717419503,-479.61994717419503,-479.61994717419503,-147.52315526596826,-147.52315526596826,-147.52315526596826,-332.0967919082267,-332.0967919082267,-332.0967919082267,0.0,0.0,0.0,143.16027694438748
2,2021-01-03,623.0047802533898,-66.40476718864345,372.7397462492438,623.0047802533898,623.0047802533898,-461.81781238388743,-461.81781238388743,-461.81781238388743,-130.5975446172407,-130.5975446172407,-130.5975446172407,-331.22026776664666,-331.22026776664666,-331.22026776664666,0.0,0.0,0.0,161.18696786950233
3,2021-01-04,623.2293363881969,146.24899895505953,578.7519692332276,623.2293363881969,623.2293363881969,-263.48857318793756,-263.48857318793756,-263.48857318793756,66.0090041296576,66.0090041296576,66.0090041296576,-329.49757731759513,-329.49757731759513,-329.49757731759513,0.0,0.0,0.0,359.7407632002593
4,2021-01-05,623.4538925230041,162.76424907636843,574.7348160879885,623.4538925230041,623.4538925230041,-262.6326965874691,-262.6326965874691,-262.6326965874691,64.38428322782153,64.38428322782153,64.38428322782153,-327.01697981529065,-327.01697981529065,-327.01697981529065,0.0,0.0,0.0,360.821195935535
5,2021-01-06,623.6784486578111,173.61375581868853,583.2620554306856,623.6784486578111,623.6784486578111,-251.32247232489718,-251.32247232489718,-251.32247232489718,72.55798392142624,72.55798392142624,72.55798392142624,-323.8804562463234,-323.8804562463234,-323.8804562463234,0.0,0.0,0.0,372.355976332914
6,2021-01-07,623.9030047926184,146.21647716328266,566.1840237174883,623.9030047926184,623.9030047926184,-268.6788774056585,-268.6788774056585,-268.6788774056585,51.522141654767964,51.522141654767964,51.522141654767964,-320.20101906042646,-320.20101906042646,-320.20101906042646,0.0,0.0,0.0,355.2241273869599
7,2021-01-08,624.1275609274255,117.77364203982665,538.286574201875,624.1275609274255,624.1275609274255,-292.4524519273481,-292.4524519273481,-292.4524519273481,23.647286949960687,23.647286949960687,23.647286949960687,-316.0997388773087,-316.0997388773087,-316.0997388773087,0.0,0.0,0.0,331.67510900007744
8,2021-01-09,624.3521170622327,-42.21152629255699,372.64905566184484,624.3521170622327,624.3521170622327,-459.22572267105033,-459.22572267105033,-459.22572267105033,-147.52315526600495,-147.52315526600495,-147.52315526600495,-311.7025674050454,-311.7025674050454,-311.7025674050454,0.0,0.0,0.0,165.12639439118232
9,2021-01-10,624.5766731970399,-16.357375029252417,393.40368773279255,624.5766731970399,624.5766731970399,-437.734586070791,-437.734586070791,-437.734586070791,-130.59754461758985,-130.59754461758985,-130.59754461758985,-307.1370414532011,-307.1370414532011,-307.1370414532011,0.0,0.0,0.0,186.84208712624888
10,2021-01-11,624.801229331847,199.52491789810443,612.206060772616,624.801229331847,624.801229331847,-236.51995214055788,-236.51995214055788,-236.51995214055788,66.00900412923976,66.00900412923976,66.00900412923976,-302.5289562697976,-302.5289562697976,-302.5289562697976,0.0,0.0,0.0,388.2812771912892
11,2021-01-12,625.0257854666542,181.86302826013286,605.661955512835,625.0257854666542,625.0257854666542,-233.61481415608088,-233.61481415608088,-233.61481415608088,64.38428322783595,64.38428322783595,64.38428322783595,-297.9990973839169,-297.9990973839169,-297.9990973839169,0.0,0.0,0.0,391.41097131057325
12,2021-01-13,625.2503416014613,192.08563670194616,613.4194311575693,625.2503416014613,625.2503416014613,-221.10213474183246,-221.10213474183246,-221.10213474183246,72.55798392144008,72.55798392144008,72.55798392144008,-293.6601186632725,-293.6601186632725,-293.6601186632725,0.0,0.0,0.0,404.14820685962883
13,2021-01-14,625.4748977362685,184.1269727838138,582.670454777184,625.4748977362685,625.4748977362685,-238.09150878213418,-238.09150878213418,-238.09150878213418,51.522141654802724,51.522141654802724,51.522141654802724,-289.6136504369369,-289.6136504369369,-289.6136504369369,0.0,0.0,0.0,387.3833889541344
14,2021-01-15,625.6994538710755,155.43308461533468,583.2745797099382,625.6994538710755,625.6994538710755,-262.3004284398061,-262.3004284398061,-262.3004284398061,23.647286949818557,23.647286949818557,23.647286949818557,-285.94771538962465,-285.94771538962465,-285.94771538962465,0.0,0.0,0.0,363.3990254312694
15,2021-01-16,625.9240100058829,-8.552179745450443,390.0852980507622,625.9232512291508,625.9240100058829,-430.2576769356862,-430.2576769356862,-430.2576769356862,-147.52315526622087,-147.52315526622087,-147.52315526622087,-282.73452166946527,-282.73452166946527,-282.73452166946527,0.0,0.0,0.0,195.66633307019669
16,2021-01-17,626.14856614069,21.022313861162004,419.98132105136705,626.1438163806018,626.14856614069,-410.62623711002414,-410.62623711002414,-410.62623711002414,-130.59754461769094,-130.59754461769094,-130.59754461769094,-280.02869249233316,-280.02869249233316,-280.02869249233316,0.0,0.0,0.0,215.5223290306659
17,2021-01-18,626.3731222754972,205.86587750027607,622.8867716962482,626.3665774473409,626.3731222754972,-211.85697561375676,-211.85697561375676,-211.85697561375676,66.00900412924197,66.00900412924197,66.00900412924197,-277.8659797429988,-277.8659797429988,-277.8659797429988,0.0,0.0,0.0,414.51614666174044
18,2021-01-19,626.5976784103043,206.21635950436675,624.2125908033953,626.5881894418769,626.5982797818073,-211.8782127636789,-211.8782127636789,-211.8782127636789,64.38428322773676,64.38428322773676,64.38428322773676,-276.2624959914156,-276.2624959914156,-276.2624959914156,0.0,0.0,0.0,414.7194656466254
19,2021-01-20,626.8222345451114,213.49211222271072,629.48417494715,626.8093915259378,626.8260077838241,-202.65650139078892,-202.65650139078892,-202.65650139078892,72.55798392143097,72.55798392143097,72.55798392143097,-275.2144853122199,-275.2144853122199,-275.2144853122199,0.0,0.0,0.0,424.16573315432254
20,2021-01-21,627.0467906799187,191.14069321039915,609.5216314555761,627.0305090140638,627.0548741824645,-223.17649704724346,-223.17649704724346,-223.17649704724346,51.522141654837476,51.522141654837476,51.522141654837476,-274.698638702081,-274.698638702081,-274.698638702081,0.0,0.0,0.0,403.8702936326752
21,2021-01-22,627.2713468147258,166.58003762545502,586.4676406824187,627.2524231853257,627.2818384764307,-251.02565817623227,-251.02565817623227,-251.02565817623227,23.647286950266142,23.647286950266142,23.647286950266142,-274.67294512649846,-274.67294512649846,-274.67294512649846,0.0,0.0,0.0,376.24568863849356
22,2021-01-23,627.4959029495329,5.7219051473519515,412.399418536134,627.4725021793687,627.5078662659265,-422.6012099657839,-422.6012099657839,-422.6012099657839,-147.5231552660783,-147.5231552660783,-147.5231552660783,-275.07805469970543,-275.07805469970543,-275.07805469970543,0.0,0.0,0.0,204.89469298374905
23,2021-01-24,627.7204590843401,16.018790202877693,421.39179154569354,627.6945149340465,627.7366968753361,-406.43666121830233,-406.43666121830233,-406.43666121830233,-130.59754461745396,-130.59754461745396,-130.59754461745396,-275.8391166008484,-275.8391166008484,-275.8391166008484,0.0,0.0,0.0,221.28379786603773
24,2021-01-25,627.9450152191472,213.60262457612654,620.1112282414883,627.9136061214964,627.9638365550283,-210.85903730720503,-210.85903730720503,-210.85903730720503,66.00900412936953,66.00900412936953,66.00900412936953,-276.8680414365746,-276.8680414365746,-276.8680414365746,0.0,0.0,0.0,417.08597791194217
