,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,3651.9124594512464,1167.31314306886,3334.8747390361664,3651.9124594512464,3651.9124594512464,-1374.6603630695508,-1374.6603630695508,-1374.6603630695508,226.68950444911655,226.68950444911655,226.68950444911655,-1601.3498675186677,-1601.3498675186677,-1601.3498675186677,0.0,0.0,0.0,2277.2520963816955
1,2021-01-02,3653.4488943607375,61.896698101921615,2141.4776308215182,3653.4488943607375,3653.4488943607375,-2504.1497407431343,-2504.1497407431343,-2504.1497407431343,-908.7675908670988,-908.7675908670988,-908.7675908670988,-1595.3821498760356,-1595.3821498760356,-1595.3821498760356,0.0,0.0,0.0,1149.2991536176032
2,2021-01-03,3654.9853292702287,-170.55541482478566,1998.8725946024122,3654.9853292702287,3654.9853292702287,-2751.500487561186,-2751.500487561186,-2751.500487561186,-1167.7598399334681,-1167.7598399334681,-1167.7598399334681,-1583.740647627718,-1583.740647627718,-1583.740647627718,0.0,0.0,0.0,903.4848417090425
3,2021-01-04,3656.521764179721,1450.024989524775,3635.7026167920376,3656.521764179721,3656.521764179721,-1193.327416925768,-1193.327416925768,-1193.327416925768,373.43824034985676,373.43824034985676,373.43824034985676,-1566.7656572756246,-1566.7656572756246,-1566.7656572756246,0.0,0.0,0.0,2463.194347253953
4,2021-01-05,3658.0581990892115,1545.3488608900839,3676.379244310971,3658.0581990892115,3658.0581990892115,-991.8045861669164,-991.8045861669164,-991.8045861669164,553.092480465816,553.092480465816,553.092480465816,-1544.8970666327325,-1544.8970666327325,-1544.8970666327325,0.0,0.0,0.0,2666.2536129222954
5,2021-01-06,3659.594633998702,1572.733008889731,3664.7422720873656,3659.594633998702,3659.594633998702,-1055.5030712749824,-1055.5030712749824,-1055.5030712749824,463.15997208849893,463.15997208849893,463.15997208849893,-1518.6630433634812,-1518.6630433634812,-1518.6630433634812,0.0,0.0,0.0,2604.09156272372
6,2021-01-07,3661.1310689081943,1654.2141836105118,3696.9191905100283,3661.1310689081943,3661.1310689081943,-1028.519474418544,-1028.519474418544,-1028.519474418544,460.14723345078147,460.14723345078147,460.14723345078147,-1488.6667078693256,-1488.6667078693256,-1488.6667078693256,0.0,0.0,0.0,2632.61159448965
7,2021-01-08,3662.6675038176854,1414.8941975342027,3532.220564418976,3662.6675038176854,3662.6675038176854,-1228.8816227263494,-1228.8816227263494,-1228.8816227263494,226.68950444817665,226.68950444817665,226.68950444817665,-1455.5711271745263,-1455.5711271745263,-1455.5711271745263,0.0,0.0,0.0,2433.785881091336
8,2021-01-09,3664.203938727176,376.7707506916603,2465.251332653554,3664.203938727176,3664.203938727176,-2328.850598590212,-2328.850598590212,-2328.850598590212,-908.7675908676256,-908.7675908676256,-908.7675908676256,-1420.0830077225867,-1420.0830077225867,-1420.0830077225867,0.0,0.0,0.0,1335.353340136964
9,2021-01-10,3665.7403736366673,66.15916638172973,2157.94615191207,3665.7403736366673,3665.7403736366673,-2550.6953365354593,-2550.6953365354593,-2550.6953365354593,-1167.7598399359863,-1167.7598399359863,-1167.7598399359863,-1382.9354965994726,-1382.9354965994726,-1382.9354965994726,0.0,0.0,0.0,1115.045037101208
