,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,3179.224788972794,1097.9408656617845,2659.564568879993,3179.224788972794,3179.224788972794,-1276.0999626455255,-1276.0999626455255,-1276.0999626455255,189.26004061149814,189.26004061149814,189.26004061149814,-1465.3600032570237,-1465.3600032570237,-1465.3600032570237,0.0,0.0,0.0,1903.1248263272687
1,2021-01-02,3180.597937538022,190.8541496672019,1672.0479773022676,3180.597937538022,3180.597937538022,-2247.0309676226693,-2247.0309676226693,-2247.0309676226693,-804.091543211066,-804.091543211066,-804.091543211066,-1442.9394244116033,-1442.9394244116033,-1442.9394244116033,0.0,0.0,0.0,933.5669699153527
2,2021-01-03,3181.9710861032486,-12.130328843086946,1512.8241531705837,3181.9710861032486,3181.9710861032486,-2422.751754130709,-2422.751754130709,-2422.751754130709,-1008.0551070241869,-1008.0551070241869,-1008.0551070241869,-1414.6966471065218,-1414.6966471065218,-1414.6966471065218,0.0,0.0,0.0,759.2193319725397
3,2021-01-04,3183.3442346684765,1361.8384405214365,2952.2613754738604,3183.3442346684765,3183.3442346684765,-1039.6070532230233,-1039.6070532230233,-1039.6070532230233,341.7371286271441,341.7371286271441,341.7371286271441,-1381.3441818501674,-1381.3441818501674,-1381.3441818501674,0.0,0.0,0.0,2143.737181445453
4,2021-01-05,3184.7173832337025,1512.4782938814003,3045.4644159735344,3184.7173832337025,3184.7173832337025,-874.1205191626459,-874.1205191626459,-874.1205191626459,469.5717143359677,469.5717143359677,469.5717143359677,-1343.6922334986136,-1343.6922334986136,-1343.6922334986136,0.0,0.0,0.0,2310.5968640710566
5,2021-01-06,3186.09053179893,1517.3325238614364,3063.866083626631,3186.09053179893,3186.09053179893,-885.8903981294836,-885.8903981294836,-885.8903981294836,416.7396280626323,416.7396280626323,416.7396280626323,-1302.630026192116,-1302.630026192116,-1302.630026192116,0.0,0.0,0.0,2300.2001336694466
6,2021-01-07,3187.463680364158,1518.435074865751,3100.042090405804,3187.463680364158,3187.463680364158,-864.2669928326061,-864.2669928326061,-864.2669928326061,394.8381386011123,394.8381386011123,394.8381386011123,-1259.1051314337183,-1259.1051314337183,-1259.1051314337183,0.0,0.0,0.0,2323.196687531552
7,2021-01-08,3188.836828929384,1378.41968389221,2918.568818231329,3188.836828929384,3188.836828929384,-1024.8412715854104,-1024.8412715854104,-1024.8412715854104,189.26004061065652,189.26004061065652,189.26004061065652,-1214.1013121960666,-1214.1013121960666,-1214.1013121960666,0.0,0.0,0.0,2163.995557343974
8,2021-01-09,3190.209977494612,458.60813904967245,1979.3020986590973,3190.209977494612,3190.209977494612,-1972.7069805254278,-1972.7069805254278,-1972.7069805254278,-804.0915432114939,-804.0915432114939,-804.0915432114939,-1168.615437313934,-1168.615437313934,-1168.615437313934,0.0,0.0,0.0,1217.502996969184
9,2021-01-10,3191.5831260598384,328.89921123068245,1816.038096990876,3191.5831260598384,3191.5831260598384,-2131.6891543716565,-2131.6891543716565,-2131.6891543716565,-1008.0551070263734,-1008.0551070263734,-1008.0551070263734,-1123.634047345283,-1123.634047345283,-1123.634047345283,0.0,0.0,0.0,1059.8939716881819
10,2021-01-11,3192.956274625066,1734.862690880621,3267.0404760195815,3192.956274625066,3192.956274625066,-738.3730361260577,-738.3730361260577,-738.3730361260577,341.73712862385,341.73712862385,341.73712862385,-1080.1101647499079,-1080.1101647499079,-1080.1101647499079,0.0,0.0,0.0,2454.583238499008
11,2021-01-12,3194.329423190293,1860.2940283879623,3413.6030439616825,3194.329423190293,3194.329423190293,-569.3692229363833,-569.3692229363833,-569.3692229363833,469.57171433566907,469.57171433566907,469.57171433566907,-1038.9409372720525,-1038.9409372720525,-1038.9409372720525,0.0,0.0,0.0,2624.9602002539095
12,2021-01-13,3195.70257175552,1864.8285708158564,3412.902779082367,3195.70257175552,3195.70257175552,-584.2070557828484,-584.2070557828484,-584.2070557828484,416.73962806300585,416.73962806300585,416.73962806300585,-1000.9466838458542,-1000.9466838458542,-1000.9466838458542,0.0,0.0,0.0,2611.4955159726715
13,2021-01-14,3197.075720320747,1851.0768627332218,3399.680577167233,3197.0738992508286,3197.075720320747,-572.0137390419302,-572.0137390419302,-572.0137390419302,394.83813860145517,394.83813860145517,394.83813860145517,-966.8518776433855,-966.8518776433855,-966.8518776433855,0.0,0.0,0.0,2625.0619812788173
14,2021-01-15,3198.448868885974,1673.7559175062722,3198.5565178832458,3198.4237603403108,3198.448868885974,-748.0085113060636,-748.0085113060636,-748.0085113060636,189.26004060981475,189.26004060981475,189.26004060981475,-937.2685519158783,-937.2685519158783,-937.2685519158783,0.0,0.0,0.0,2450.4403575799106
15,2021-01-16,3199.822017451201,762.0153949796983,2239.88741058719,3199.77354162774,3199.8286484680225,-1716.7740955227382,-1716.7740955227382,-1716.7740955227382,-804.0915432128083,-804.0915432128083,-804.0915432128083,-912.6825523099297,-912.6825523099297,-912.6825523099297,0.0,0.0,0.0,1483.047921928463
16,2021-01-17,3201.1951660164286,531.8039476188765,2028.1783812358644,3201.120897592798,3201.2208600698946,-1901.498093023338,-1901.498093023338,-1901.498093023338,-1008.0551070265457,-1008.0551070265457,-1008.0551070265457,-893.4429859967923,-893.4429859967923,-893.4429859967923,0.0,0.0,0.0,1299.6970729930906
17,2021-01-18,3202.5683145816556,1869.4827391628817,3440.5015344920175,3202.4737962619456,3202.6217463478124,-538.0180065297317,-538.0180065297317,-538.0180065297317,341.73712862441135,341.73712862441135,341.73712862441135,-879.7551351541431,-879.7551351541431,-879.7551351541431,0.0,0.0,0.0,2664.550308051924
18,2021-01-19,3203.9414631468826,2084.263565574869,3554.0120435744375,3203.827578325254,3204.0107324949395,-402.1052979649634,-402.1052979649634,-402.1052979649634,469.57171433576895,469.57171433576895,469.57171433576895,-871.6770123007323,-871.6770123007323,-871.6770123007323,0.0,0.0,0.0,2801.836165181919
19,2021-01-20,3205.31461171211,1977.6615291187507,3528.1121281124024,3205.1576932294956,3205.436735741371,-452.38001202275444,-452.38001202275444,-452.38001202275444,416.7396280627855,416.7396280627855,416.7396280627855,-869.11964008554,-869.11964008554,-869.11964008554,0.0,0.0,0.0,2752.9345996893558
20,2021-01-21,3206.687760277336,1980.497301639462,3462.521443559603,3206.504577180061,3206.8779046833083,-477.0129023226508,-477.0129023226508,-477.0129023226508,394.8381386017982,394.8381386017982,394.8381386017982,-871.8510409244491,-871.8510409244491,-871.8510409244491,0.0,0.0,0.0,2729.674857954685
