,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,1719.034420820988,351.0296903099969,1375.2183519563976,1719.034420820988,1719.034420820988,-864.1638495577041,-864.1638495577041,-864.1638495577041,14.128200626533342,14.128200626533342,14.128200626533342,-878.2920501842374,-878.2920501842374,-878.2920501842374,0.0,0.0,0.0,854.870571263284
1,2021-01-02,1719.9353023503447,-159.3350534545157,871.620856456662,1719.9353023503447,1719.9353023503447,-1341.2190701948155,-1341.2190701948155,-1341.2190701948155,-473.6966707433161,-473.6966707433161,-473.6966707433161,-867.5223994514995,-867.5223994514995,-867.5223994514995,0.0,0.0,0.0,378.71623215552927
2,2021-01-03,1720.8361838797014,62.24099442176113,1047.3924135875438,1720.8361838797014,1720.8361838797014,-1183.1185400300321,-1183.1185400300321,-1183.1185400300321,-328.7655952789006,-328.7655952789006,-328.7655952789006,-854.3529447511315,-854.3529447511315,-854.3529447511315,0.0,0.0,0.0,537.7176438496692
3,2021-01-04,1721.737065409058,563.2777038916553,1616.6338581038895,1721.737065409058,1721.737065409058,-659.9915516654743,-659.9915516654743,-659.9915516654743,179.12873426392676,179.12873426392676,179.12873426392676,-839.1202859294011,-839.1202859294011,-839.1202859294011,0.0,0.0,0.0,1061.7455137435836
4,2021-01-05,1722.6379469384146,693.2874142920257,1711.5810987264667,1722.6379469384146,1722.6379469384146,-545.4506204857626,-545.4506204857626,-545.4506204857626,276.7434359799662,276.7434359799662,276.7434359799662,-822.1940564657289,-822.1940564657289,-822.1940564657289,0.0,0.0,0.0,1177.187326452652
5,2021-01-06,1723.538828467771,583.3932672037588,1606.0205230545725,1723.538828467771,1723.538828467771,-622.9262392899317,-622.9262392899317,-622.9262392899317,181.04185371219802,181.04185371219802,181.04185371219802,-803.9680930021298,-803.9680930021298,-803.9680930021298,0.0,0.0,0.0,1100.6125891778393
6,2021-01-07,1724.4397099971275,596.0261467530393,1640.5344450315667,1724.4397099971275,1724.4397099971275,-633.4310202460488,-633.4310202460488,-633.4310202460488,151.42004144138082,151.42004144138082,151.42004144138082,-784.8510616874295,-784.8510616874295,-784.8510616874295,0.0,0.0,0.0,1091.0086897510787
7,2021-01-08,1725.3405915264839,446.2215252122984,1493.1240265408987,1725.3405915264839,1725.3405915264839,-751.1285782968761,-751.1285782968761,-751.1285782968761,14.128200626206379,14.128200626206379,14.128200626206379,-765.2567789230826,-765.2567789230826,-765.2567789230826,0.0,0.0,0.0,974.2120132296078
8,2021-01-09,1726.2414730558407,-55.215699553334645,989.4811575931759,1726.2414730558407,1726.2414730558407,-1219.291142744469,-1219.291142744469,-1219.291142744469,-473.6966707434762,-473.6966707434762,-473.6966707434762,-745.594472000993,-745.594472000993,-745.594472000993,0.0,0.0,0.0,506.9503303113718
9,2021-01-10,1727.1423545851972,146.4347217952724,1162.4453128422056,1727.1423545851972,1727.1423545851972,-1055.024821869634,-1055.024821869634,-1055.024821869634,-328.76559528024166,-328.76559528024166,-328.76559528024166,-726.2592265893924,-726.2592265893924,-726.2592265893924,0.0,0.0,0.0,672.1175327155631
10,2021-01-11,1728.0432361145536,698.8227275773197,1721.0149776967298,1728.0432361145536,1728.0432361145536,-528.4941287351253,-528.4941287351253,-528.4941287351253,179.12873426264656,179.12873426264656,179.12873426264656,-707.6228629977718,-707.6228629977718,-707.6228629977718,0.0,0.0,0.0,1199.5491073794283
11,2021-01-12,1728.9441176439104,831.0734764470874,1795.3443668411583,1728.9441176439104,1728.9441176439104,-413.28203578430987,-413.28203578430987,-413.28203578430987,276.74343598003503,276.74343598003503,276.74343598003503,-690.0254717643448,-690.0254717643448,-690.0254717643448,0.0,0.0,0.0,1315.6620818596007
12,2021-01-13,1729.8449991732668,725.9893918604369,1781.134939539372,1729.8449991732668,1729.8449991732668,-492.72596793900277,-492.72596793900277,-492.72596793900277,181.04185371205395,181.04185371205395,181.04185371205395,-673.7678216510568,-673.7678216510568,-673.7678216510568,0.0,0.0,0.0,1237.1190312342642
13,2021-01-14,1730.7458807026235,716.5545555531396,1711.682550237871,1730.7458807026235,1730.7458807026235,-507.6847886235371,-507.6847886235371,-507.6847886235371,151.42004144137886,151.42004144137886,151.42004144137886,-659.104830064916,-659.104830064916,-659.104830064916,0.0,0.0,0.0,1223.0610920790864
14,2021-01-15,1731.64676223198,572.8354461146606,1595.064283647563,1731.64676223198,1731.64676223198,-632.112057230543,-632.112057230543,-632.112057230543,14.128200625879334,14.128200625879334,14.128200625879334,-646.2402578564222,-646.2402578564222,-646.2402578564222,0.0,0.0,0.0,1099.534705001437
15,2021-01-16,1732.5476437613363,140.42842297473348,1116.924016861106,1732.5442008927016,1732.5490001347969,-1109.0194288654632,-1109.0194288654632,-1109.0194288654632,-473.6966707437967,-473.6966707437967,-473.6966707437967,-635.3227581216664,-635.3227581216664,-635.3227581216664,0.0,0.0,0.0,623.5282148958731
16,2021-01-17,1733.4485252906932,279.7754479933095,1269.0239581052738,1733.4211233009719,1733.4575814113462,-955.208968198432,-955.208968198432,-955.208968198432,-328.76559528017873,-328.76559528017873,-328.76559528017873,-626.4433729182534,-626.4433729182534,-626.4433729182534,0.0,0.0,0.0,778.2395570922612
17,2021-01-18,1734.3494068200496,798.8884019296706,1803.196269495843,1734.2523805382377,1734.375977225083,-440.5057993772675,-440.5057993772675,-440.5057993772675,179.1287342627575,179.1287342627575,179.1287342627575,-619.634533640025,-619.634533640025,-619.634533640025,0.0,0.0,0.0,1293.843607442782
18,2021-01-19,1735.2502883494064,873.0836504147293,1884.9758514195646,1735.132635079366,1735.3248657757524,-338.1271452283558,-338.1271452283558,-338.1271452283558,276.74343597968397,276.74343597968397,276.74343597968397,-614.8705812080398,-614.8705812080398,-614.8705812080398,0.0,0.0,0.0,1397.1231431210506
19,2021-01-20,1736.1511698787629,795.2270924162231,1835.7953459950793,1735.9747648865512,1736.2666719212293,-431.0279285616828,-431.0279285616828,-431.0279285616828,181.04185371204846,181.04185371204846,181.04185371204846,-612.0697822737313,-612.0697822737313,-612.0697822737313,0.0,0.0,0.0,1305.12324131708
20,2021-01-21,1737.0520514081193,784.1069028249432,1808.7478942413188,1736.8408069332452,1737.203409848536,-459.67773692580687,-459.67773692580687,-459.67773692580687,151.42004144137687,151.42004144137687,151.42004144137687,-611.0977783671837,-611.0977783671837,-611.0977783671837,0.0,0.0,0.0,1277.3743144823125
21,2021-01-22,1737.9529329374757,605.3624210318711,1641.382693980339,1737.7296132330277,1738.1328729802203,-597.6441667736191,-597.6441667736191,-597.6441667736191,14.12820062726942,14.12820062726942,14.12820062726942,-611.7723674008885,-611.7723674008885,-611.7723674008885,0.0,0.0,0.0,1140.3087661638565
22,2021-01-23,1738.8538144668323,122.84755824145303,1164.4585753582678,1738.574643102811,1739.0382435585136,-1087.5661529064344,-1087.5661529064344,-1087.5661529064344,-473.6966707437964,-473.6966707437964,-473.6966707437964,-613.8694821626377,-613.8694821626377,-613.8694821626377,0.0,0.0,0.0,651.287661560398
23,2021-01-24,1739.754695996189,273.8619659246331,1279.7422215943627,1739.4017522119618,1740.0189838665256,-945.8957946000875,-945.8957946000875,-945.8957946000875,-328.76559527967163,-328.76559527967163,-328.76559527967163,-617.130199320416,-617.130199320416,-617.130199320416,0.0,0.0,0.0,793.8589013961015
24,2021-01-25,1740.6555775255456,798.7615943497609,1801.2079416837414,1740.2498091996447,1740.9592396006444,-442.13985158755725,-442.13985158755725,-442.13985158755725,179.12873426310819,179.12873426310819,179.12873426310819,-621.2685858506654,-621.2685858506654,-621.2685858506654,0.0,0.0,0.0,1298.5157259379885
25,2021-01-26,1741.556459054902,874.1639996055289,1878.531041317753,1741.1110370116955,1741.9319658922382,-349.2367324077142,-349.2367324077142,-349.2367324077142,276.74343597975275,276.74343597975275,276.74343597975275,-625.980168387467,-625.980168387467,-625.980168387467,0.0,0.0,0.0,1392.3197266471877
26,2021-01-27,1742.4573405842589,763.9636964516469,1847.482879583206,1741.950065732754,1742.8881120961842,-449.9089416319066,-449.9089416319066,-449.9089416319066,181.04185371210838,181.04185371210838,181.04185371210838,-630.950795344015,-630.950795344015,-630.950795344015,0.0,0.0,0.0,1292.5483989523523
