,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,1397.3595922418062,174.79612501834214,1064.0997170984087,1397.3595922418062,1397.3595922418062,-755.9945241258572,-755.9945241258572,-755.9945241258572,2.230267176543246,2.230267176543246,2.230267176543246,-758.2247913024006,-758.2247913024006,-758.2247913024006,0.0,0.0,0.0,641.365068115949
1,2021-01-02,1398.3492618874895,-160.54400065032186,689.0363031290293,1398.3492618874895,1398.3492618874895,-1124.4792790911742,-1124.4792790911742,-1124.4792790911742,-373.7136669445673,-373.7136669445673,-373.7136669445673,-750.7656121466069,-750.7656121466069,-750.7656121466069,0.0,0.0,0.0,273.8699827963153
2,2021-01-03,1399.3389315331724,-33.54820674644555,856.4312553920186,1399.3389315331724,1399.3389315331724,-994.5661230669847,-994.5661230669847,-994.5661230669847,-253.31081874599784,-253.31081874599784,-253.31081874599784,-741.255304320987,-741.255304320987,-741.255304320987,0.0,0.0,0.0,404.7728084661877
3,2021-01-04,1400.3286011788555,403.74662194494,1266.7868823475146,1400.3286011788555,1400.3286011788555,-582.3500865206211,-582.3500865206211,-582.3500865206211,147.5991766372163,147.5991766372163,147.5991766372163,-729.9492631578373,-729.9492631578373,-729.9492631578373,0.0,0.0,0.0,817.9785146582344
4,2021-01-05,1401.3182708245386,465.21372069520623,1365.6510189426206,1401.3182708245386,1401.3182708245386,-501.52204939933773,-501.52204939933773,-501.52204939933773,215.61044172343983,215.61044172343983,215.61044172343983,-717.1324911227777,-717.1324911227777,-717.1324911227777,0.0,0.0,0.0,899.7962214252009
5,2021-01-06,1402.3079404702216,390.09643921430273,1284.4762603074614,1402.3079404702216,1402.3079404702216,-564.7320218578562,-564.7320218578562,-564.7320218578562,138.3808045811908,138.3808045811908,138.3808045811908,-703.112826439047,-703.112826439047,-703.112826439047,0.0,0.0,0.0,837.5759186123654
6,2021-01-07,1403.297610115905,390.62793447364567,1278.6342713682277,1403.297610115905,1403.297610115905,-565.0098496074019,-565.0098496074019,-565.0098496074019,123.2037955735587,123.2037955735587,123.2037955735587,-688.2136451809605,-688.2136451809605,-688.2136451809605,0.0,0.0,0.0,838.2877605085031
7,2021-01-08,1404.2872797615878,263.32063295575966,1204.832771946495,1404.2872797615878,1404.2872797615878,-670.5359530274607,-670.5359530274607,-670.5359530274607,2.230267176282131,2.230267176282131,2.230267176282131,-672.7662202037428,-672.7662202037428,-672.7662202037428,0.0,0.0,0.0,733.7513267341271
8,2021-01-09,1405.2769494072709,-47.975664929097796,811.0673768605931,1405.2769494072709,1405.2769494072709,-1030.815596381503,-1030.815596381503,-1030.815596381503,-373.7136669446892,-373.7136669446892,-373.7136669446892,-657.101929436814,-657.101929436814,-657.101929436814,0.0,0.0,0.0,374.46135302576795
9,2021-01-10,1406.2666190529537,81.04421962841838,939.124805225144,1406.2666190529537,1406.2666190529537,-894.8553289689179,-894.8553289689179,-894.8553289689179,-253.31081874709506,-253.31081874709506,-253.31081874709506,-641.544510221823,-641.544510221823,-641.544510221823,0.0,0.0,0.0,511.41129008403584
10,2021-01-11,1407.2562886986368,442.47993817919246,1367.4140143977816,1407.2562886986368,1407.2562886986368,-478.803378758193,-478.803378758193,-478.803378758193,147.59917663623358,147.59917663623358,147.59917663623358,-626.4025553944265,-626.4025553944265,-626.4025553944265,0.0,0.0,0.0,928.4529099404438
11,2021-01-12,1408.2459583443201,577.0160101631468,1470.263197636459,1408.2459583443201,1408.2459583443201,-396.35199897661136,-396.35199897661136,-396.35199897661136,215.61044172347187,215.61044172347187,215.61044172347187,-611.9624407000832,-611.9624407000832,-611.9624407000832,0.0,0.0,0.0,1011.8939593677087
12,2021-01-13,1409.235627990003,522.4800673584564,1404.701642638087,1409.235627990003,1409.235627990003,-460.10105745965615,-460.10105745965615,-460.10105745965615,138.38080458109553,138.38080458109553,138.38080458109553,-598.4818620407516,-598.4818620407516,-598.4818620407516,0.0,0.0,0.0,949.1345705303468
13,2021-01-14,1410.2252976356863,530.7995151237358,1369.9120071062935,1410.2252976356863,1410.2252976356863,-462.9803496797411,-462.9803496797411,-462.9803496797411,123.20379557355695,123.20379557355695,123.20379557355695,-586.1841452532981,-586.1841452532981,-586.1841452532981,0.0,0.0,0.0,947.2449479559452
14,2021-01-15,1411.214967281369,436.00238211643125,1308.3227102604358,1411.2074562566534,1411.214967281369,-573.0232038476962,-573.0232038476962,-573.0232038476962,2.2302671760210084,2.2302671760210084,2.2302671760210084,-575.2534710237172,-575.2534710237172,-575.2534710237172,0.0,0.0,0.0,838.1917634336727
15,2021-01-16,1412.204636927052,27.510246941858107,932.6736970433374,1412.1183665176864,1412.2374115255243,-939.544800610902,-939.544800610902,-939.544800610902,-373.7136669449246,-373.7136669449246,-373.7136669449246,-565.8311336659773,-565.8311336659773,-565.8311336659773,0.0,0.0,0.0,472.65983631614995
16,2021-01-17,1413.1943065727353,146.06834217495864,1047.225109206144,1412.997147220753,1413.286984875853,-811.3237442156758,-811.3237442156758,-811.3237442156758,-253.31081874701448,-253.31081874701448,-253.31081874701448,-558.0129254686614,-558.0129254686614,-558.0129254686614,0.0,0.0,0.0,601.8705623570595
17,2021-01-18,1414.1839762184181,590.245162301344,1453.4202262349795,1413.901588743714,1414.3588519626726,-404.24853220365867,-404.24853220365867,-404.24853220365867,147.59917663633306,147.59917663633306,147.59917663633306,-551.8477088399917,-551.8477088399917,-551.8477088399917,0.0,0.0,0.0,1009.9354440147595
18,2021-01-19,1415.1736458641014,582.9361396668754,1510.544350711539,1414.8130733649045,1415.4045928717592,-331.7267656247725,-331.7267656247725,-331.7267656247725,215.6104417232207,215.6104417232207,215.6104417232207,-547.3372073479932,-547.3372073479932,-547.3372073479932,0.0,0.0,0.0,1083.446880239329
19,2021-01-20,1416.163315509784,584.2602799097275,1463.4842571584923,1415.720768921974,1416.469101928977,-406.05621019412104,-406.05621019412104,-406.05621019412104,138.3808045810914,138.3808045810914,138.3808045810914,-544.4370147752123,-544.4370147752123,-544.4370147752123,0.0,0.0,0.0,1010.107105315663
20,2021-01-21,1417.1529851554671,536.4544520342055,1473.305981106879,1416.630402309374,1417.5349535031123,-419.8549937671902,-419.8549937671902,-419.8549937671902,123.2037955735552,123.2037955735552,123.2037955735552,-543.0587893407453,-543.0587893407453,-543.0587893407453,0.0,0.0,0.0,997.297991388277
21,2021-01-22,1418.1426548011505,417.52598268423753,1307.790262290709,1417.5391566687526,1418.590499541332,-540.8433019557191,-540.8433019557191,-540.8433019557191,2.2302671771345963,2.2302671771345963,2.2302671771345963,-543.0735691328538,-543.0735691328538,-543.0735691328538,0.0,0.0,0.0,877.2993528454314
22,2021-01-23,1419.1323244468333,51.16149571547218,966.5873193062049,1418.4500426816035,1419.668960169096,-918.0297823208789,-918.0297823208789,-918.0297823208789,-373.7136669449328,-373.7136669449328,-373.7136669449328,-544.3161153759461,-544.3161153759461,-544.3161153759461,0.0,0.0,0.0,501.1025421259544
23,2021-01-24,1420.1219940925166,154.76908012797136,1023.9340654806904,1419.360479821138,1420.7834536992307,-799.9009819548114,-799.9009819548114,-799.9009819548114,-253.31081874662564,-253.31081874662564,-253.31081874662564,-546.5901632081859,-546.5901632081859,-546.5901632081859,0.0,0.0,0.0,620.2210121377052
24,2021-01-25,1421.1116637381995,571.3664880769378,1457.9857800744167,1420.2360804520913,1421.880622430999,-402.07525925858766,-402.07525925858766,-402.07525925858766,147.59917663659678,147.59917663659678,147.59917663659678,-549.6744358951845,-549.6744358951845,-549.6744358951845,0.0,0.0,0.0,1019.0364044796117
25,2021-01-26,1422.1013333838823,598.34650938948,1529.2999529661174,1421.0977257141033,1422.9676232266327,-337.7188167600339,-337.7188167600339,-337.7188167600339,215.61044172325282,215.61044172325282,215.61044172325282,-553.3292584832867,-553.3292584832867,-553.3292584832867,0.0,0.0,0.0,1084.3825166238485
26,2021-01-27,1423.0910030295656,570.0590746328181,1473.4583232599605,1421.8430201073927,1424.0326447798077,-418.92278675911194,-418.92278675911194,-418.92278675911194,138.38080458113328,138.38080458113328,138.38080458113328,-557.3035913402452,-557.3035913402452,-557.3035913402452,0.0,0.0,0.0,1004.1682162704537
27,2021-01-28,1424.0806726752487,561.6243514025472,1431.3987740199289,1422.6870613786864,1425.178517815236,-438.1384976849812,-438.1384976849812,-438.1384976849812,123.20379557355346,123.20379557355346,123.20379557355346,-561.3422932585346,-561.3422932585346,-561.3422932585346,0.0,0.0,0.0,985.9421749902675
28,2021-01-29,1425.070342320932,387.63813493853576,1294.3496792829421,1423.5589133864173,1426.2027628486587,-562.9631509188308,-562.9631509188308,-562.9631509188308,2.2302671769240816,2.2302671769240816,2.2302671769240816,-565.193418095755,-565.193418095755,-565.193418095755,0.0,0.0,0.0,862.1071914021012
29,2021-01-30,1426.0600119666149,79.48753126871728,971.0918729608096,1424.4297148089856,1427.3544308938363,-942.3290154005653,-942.3290154005653,-942.3290154005653,-373.7136669451683,-373.7136669451683,-373.7136669451683,-568.6153484553969,-568.6153484553969,-568.6153484553969,0.0,0.0,0.0,483.7309965660496
30,2021-01-31,1427.0496816122975,142.18223022252636,1030.062443588529,1425.3159804890756,1428.483881354231,-824.6943934266828,-824.6943934266828,-824.6943934266828,-253.31081874639082,-253.31081874639082,-253.31081874639082,-571.383574680292,-571.383574680292,-571.383574680292,0.0,0.0,0.0,602.3552881856147
31,2021-02-01,1428.0393512579808,579.4939897051471,1455.2936694567595,1426.1740385550431,1429.5783086070196,-425.6977606787641,-425.6977606787641,-425.6977606787641,147.59917663686048,147.59917663686048,147.59917663686048,-573.2969373156246,-573.2969373156246,-573.2969373156246,0.0,0.0,0.0,1002.3415905792167
32,2021-02-02,1429.0290209036639,657.6352711349082,1524.3774221473702,1426.9693737317555,1430.6831078189514,-358.5727242121623,-358.5727242121623,-358.5727242121623,215.61044172356895,215.61044172356895,215.61044172356895,-574.1831659357313,-574.1831659357313,-574.1831659357313,0.0,0.0,0.0,1070.4562966915016
33,2021-02-03,1430.0186905493472,550.5068372487856,1464.44967295426,1427.8262003836487,1431.8080268476983,-435.52276184019064,-435.52276184019064,-435.52276184019064,138.38080458122016,138.38080458122016,138.38080458122016,-573.9035664214108,-573.9035664214108,-573.9035664214108,0.0,0.0,0.0,994.4959287091565
34,2021-02-04,1431.0083601950303,521.8700252807124,1422.0372548676237,1428.6951440614275,1432.876546046565,-449.15293633947164,-449.15293633947164,-449.15293633947164,123.2037955735742,123.2037955735742,123.2037955735742,-572.3567319130459,-572.3567319130459,-572.3567319130459,0.0,0.0,0.0,981.8554238555587
35,2021-02-05,1431.998029840713,416.2583325038689,1327.154681756998,1429.2852061489882,1433.9535658307861,-567.2509119487061,-567.2509119487061,-567.2509119487061,2.2302671766123243,2.2302671766123243,2.2302671766123243,-569.4811791253184,-569.4811791253184,-569.4811791253184,0.0,0.0,0.0,864.7471178920068
