,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,2932.5682650548465,1011.075542615779,2838.112074327173,2932.5682650548465,2932.5682650548465,-1031.2911782769477,-1031.2911782769477,-1031.2911782769477,110.29560956359354,110.29560956359354,110.29560956359354,-1141.5867878405409,-1141.5867878405409,-1141.5867878405409,0.0,0.0,0.0,1901.2770867778988
1,2021-01-02,2934.110755709117,350.5563032424209,2209.604523642385,2934.110755709117,2934.110755709117,-1662.7364114962409,-1662.7364114962409,-1662.7364114962409,-545.2761186689306,-545.2761186689306,-545.2761186689306,-1117.46029282731,-1117.46029282731,-1117.46029282731,0.0,0.0,0.0,1271.374344212876
2,2021-01-03,2935.6532463633876,160.70424287562898,1991.9036064092372,2935.6532463633876,2935.6532463633876,-1873.7907716797579,-1873.7907716797579,-1873.7907716797579,-783.7469620036884,-783.7469620036884,-783.7469620036884,-1090.0438096760693,-1090.0438096760693,-1090.0438096760693,0.0,0.0,0.0,1061.8624746836297
3,2021-01-04,2937.1957370176583,1234.7394500924431,3005.7250623746313,2937.1957370176583,2937.1957370176583,-815.5934540679538,-815.5934540679538,-815.5934540679538,244.36624456011526,244.36624456011526,244.36624456011526,-1059.959698628069,-1059.959698628069,-1059.959698628069,0.0,0.0,0.0,2121.6022829497047
4,2021-01-05,2938.738227671928,1393.6628357072982,3158.5211521923884,2938.738227671928,2938.738227671928,-647.2816604525734,-647.2816604525734,-647.2816604525734,380.5848894383875,380.5848894383875,380.5848894383875,-1027.8665498909609,-1027.8665498909609,-1027.8665498909609,0.0,0.0,0.0,2291.456567219355
5,2021-01-06,2940.2807183261993,1343.808182080993,3209.180818412181,2940.2807183261993,2940.2807183261993,-698.188293204628,-698.188293204628,-698.188293204628,296.2557317786484,296.2557317786484,296.2557317786484,-994.4440249832763,-994.4440249832763,-994.4440249832763,0.0,0.0,0.0,2242.092425121571
6,2021-01-07,2941.8232089804696,1418.7830041104398,3215.366788612204,2941.8232089804696,2941.8232089804696,-662.8567618122468,-662.8567618122468,-662.8567618122468,297.52060533400646,297.52060533400646,297.52060533400646,-960.3773671462533,-960.3773671462533,-960.3773671462533,0.0,0.0,0.0,2278.9664471682227
7,2021-01-08,2943.3656996347404,1237.247698642109,3074.202061193164,2943.3656996347404,2943.3656996347404,-816.0463510375952,-816.0463510375952,-816.0463510375952,110.29560956300256,110.29560956300256,110.29560956300256,-926.3419606005975,-926.3419606005975,-926.3419606005975,0.0,0.0,0.0,2127.319348597145
8,2021-01-09,2944.908190289011,573.7617067385593,2412.520729607454,2944.908190289011,2944.908190289011,-1438.2644333840185,-1438.2644333840185,-1438.2644333840185,-545.2761186692857,-545.2761186692857,-545.2761186692857,-892.988314714733,-892.988314714733,-892.988314714733,0.0,0.0,0.0,1506.6437569049926
9,2021-01-10,2946.4506809432814,375.7377516059876,2171.449233662136,2946.4506809432814,2946.4506809432814,-1644.6747979009588,-1644.6747979009588,-1644.6747979009588,-783.7469620053403,-783.7469620053403,-783.7469620053403,-860.9278358956183,-860.9278358956183,-860.9278358956183,0.0,0.0,0.0,1301.7758830423227
