,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,2523.5896103878686,1023.3965699786023,2082.157527933699,2523.5896103878686,2523.5896103878686,-957.4736947383914,-957.4736947383914,-957.4736947383914,115.01185158925806,115.01185158925806,115.01185158925806,-1072.4855463276494,-1072.4855463276494,-1072.4855463276494,0.0,0.0,0.0,1566.1159156494773
1,2021-01-02,2525.083918630026,415.3449337518264,1455.8814775244884,2525.083918630026,2525.083918630026,-1574.2202534695662,-1574.2202534695662,-1574.2202534695662,-516.892501972115,-516.892501972115,-516.892501972115,-1057.327751497451,-1057.327751497451,-1057.327751497451,0.0,0.0,0.0,950.8636651604597
2,2021-01-03,2526.5782268721837,147.7239992714093,1251.317747133097,2526.5782268721837,2526.5782268721837,-1847.1208776729916,-1847.1208776729916,-1847.1208776729916,-807.9336589792562,-807.9336589792562,-807.9336589792562,-1039.1872186937355,-1039.1872186937355,-1039.1872186937355,0.0,0.0,0.0,679.4573491991921
3,2021-01-04,2528.0725351143406,1224.6374145856112,2286.9667188029125,2528.0725351143406,2528.0725351143406,-763.6793464327885,-763.6793464327885,-763.6793464327885,254.82335008486714,254.82335008486714,254.82335008486714,-1018.5026965176557,-1018.5026965176557,-1018.5026965176557,0.0,0.0,0.0,1764.3931886815521
4,2021-01-05,2529.566843356498,1386.3304920355606,2435.66353281448,2529.566843356498,2529.566843356498,-621.822790916504,-621.822790916504,-621.822790916504,373.9319001741458,373.9319001741458,373.9319001741458,-995.7546910906498,-995.7546910906498,-995.7546910906498,0.0,0.0,0.0,1907.744052439994
5,2021-01-06,2531.0611515986548,1281.854245636863,2408.395231790211,2531.0611515986548,2531.0611515986548,-663.5729389316658,-663.5729389316658,-663.5729389316658,307.8816087739087,307.8816087739087,307.8816087739087,-971.4545477055747,-971.4545477055747,-971.4545477055747,0.0,0.0,0.0,1867.488212666989
6,2021-01-07,2532.5554598408125,1301.005622917738,2401.0824872120857,2532.5554598408125,2532.5554598408125,-672.9553859287294,-672.9553859287294,-672.9553859287294,273.17745033131456,273.17745033131456,273.17745033131456,-946.1328362600437,-946.1328362600437,-946.1328362600437,0.0,0.0,0.0,1859.6000739120832
7,2021-01-08,2534.04976808297,1241.8387658670385,2269.0407001309227,2534.04976808297,2534.04976808297,-805.3154704271788,-805.3154704271788,-805.3154704271788,115.01185158865793,115.01185158865793,115.01185158865793,-920.3273220158368,-920.3273220158368,-920.3273220158368,0.0,0.0,0.0,1728.7342976557911
8,2021-01-09,2535.544076325127,580.3614311690653,1643.2928991499468,2535.544076325127,2535.544076325127,-1411.4633159497564,-1411.4633159497564,-1411.4633159497564,-516.892501972453,-516.892501972453,-516.892501972453,-894.5708139773034,-894.5708139773034,-894.5708139773034,0.0,0.0,0.0,1124.0807603753708
9,2021-01-10,2537.0383845672845,263.3701379974864,1352.7873394570597,2537.0383845672845,2537.0383845672845,-1677.3128455397775,-1677.3128455397775,-1677.3128455397775,-807.933658980773,-807.933658980773,-807.933658980773,-869.3791865590048,-869.3791865590048,-869.3791865590048,0.0,0.0,0.0,859.725539027507
