,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,2893.451013794425,1377.3539866500512,2689.9977918932973,2893.451013794425,2893.451013794425,-884.3777874299923,-884.3777874299923,-884.3777874299923,94.89939933023625,94.89939933023625,94.89939933023625,-979.2771867602285,-979.2771867602285,-979.2771867602285,0.0,0.0,0.0,2009.0732263644327
1,2021-01-02,2897.8476797743588,676.0904287132282,2034.3168224223566,2897.8476797743588,2897.8476797743588,-1524.1201893225762,-1524.1201893225762,-1524.1201893225762,-566.3132451131497,-566.3132451131497,-566.3132451131497,-957.8069442094265,-957.8069442094265,-957.8069442094265,0.0,0.0,0.0,1373.7274904517826
2,2021-01-03,2902.2443457542945,792.9431220214427,2082.079661485421,2902.2443457542945,2902.2443457542945,-1475.5622578457396,-1475.5622578457396,-1475.5622578457396,-543.7323075454437,-543.7323075454437,-543.7323075454437,-931.8299503002955,-931.8299503002955,-931.8299503002955,0.0,0.0,0.0,1426.6820879085549
3,2021-01-04,2906.6410117342307,1537.6063575305247,2813.271687044584,2906.6410117342307,2906.6410117342307,-723.1739517745029,-723.1739517745029,-723.1739517745029,178.67921956336835,178.67921956336835,178.67921956336835,-901.8531713378711,-901.8531713378711,-901.8531713378711,0.0,0.0,0.0,2183.4670599597275
4,2021-01-05,2911.0376777141664,1635.9927003151574,2968.0795181447697,2911.0376777141664,2911.0376777141664,-571.8119721020346,-571.8119721020346,-571.8119721020346,296.64335233774705,296.64335233774705,296.64335233774705,-868.4553244397814,-868.4553244397814,-868.4553244397814,0.0,0.0,0.0,2339.2257056121316
5,2021-01-06,2915.4343436941003,1688.9592801736296,3018.872488159532,2915.4343436941003,2915.4343436941003,-543.3581870699827,-543.3581870699827,-543.3581870699827,288.9156975606092,288.9156975606092,288.9156975606092,-832.2738846305919,-832.2738846305919,-832.2738846305919,0.0,0.0,0.0,2372.0761566241176
6,2021-01-07,2919.831009674036,1727.6231532451682,3129.469520732685,2919.831009674036,2919.831009674036,-543.0828849807006,-543.0828849807006,-543.0828849807006,250.90788386875997,250.90788386875997,250.90788386875997,-793.9907688494607,-793.9907688494607,-793.9907688494607,0.0,0.0,0.0,2376.7481246933357
7,2021-01-08,2924.2276756539723,1647.877901631115,2916.827857821836,2924.2276756539723,2924.2276756539723,-659.4176563372523,-659.4176563372523,-659.4176563372523,94.89939932973739,94.89939932973739,94.89939932973739,-754.3170556669897,-754.3170556669897,-754.3170556669897,0.0,0.0,0.0,2264.81001931672
8,2021-01-09,2928.624341633906,1008.2117853984624,2304.740587729263,2928.624341633906,2928.624341633906,-1280.2903674403951,-1280.2903674403951,-1280.2903674403951,-566.3132451133812,-566.3132451133812,-566.3132451133812,-713.9771223270137,-713.9771223270137,-713.9771223270137,0.0,0.0,0.0,1648.333974193511
9,2021-01-10,2933.021007613842,1075.7396896841883,2350.6856270764647,2933.021007613842,2933.021007613842,-1217.4249010053936,-1217.4249010053936,-1217.4249010053936,-543.7323075468316,-543.7323075468316,-543.7323075468316,-673.692593458562,-673.692593458562,-673.692593458562,0.0,0.0,0.0,1715.5961066084483
