,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,2559.9892988276747,763.4678196103536,1923.4368140050635,2559.9892988276747,2559.9892988276747,-1210.9386307648024,-1210.9386307648024,-1210.9386307648024,136.20737934259733,136.20737934259733,136.20737934259733,-1347.1460101073997,-1347.1460101073997,-1347.1460101073997,0.0,0.0,0.0,1349.0506680628723
1,2021-01-02,2560.564137899087,-93.65083285234084,1063.261974727073,2560.564137899087,2560.564137899087,-2042.0247179294784,-2042.0247179294784,-2042.0247179294784,-714.7203277964871,-714.7203277964871,-714.7203277964871,-1327.3043901329913,-1327.3043901329913,-1327.3043901329913,0.0,0.0,0.0,518.5394199696088
2,2021-01-03,2561.1389769704997,-16.922137779225558,1163.8381943459538,2561.1389769704997,2561.1389769704997,-2007.7949487889248,-2007.7949487889248,-2007.7949487889248,-705.4198197605352,-705.4198197605352,-705.4198197605352,-1302.37512902839,-1302.37512902839,-1302.37512902839,0.0,0.0,0.0,553.3440281815749
3,2021-01-04,2561.713816041912,894.4536564900937,2023.8972251517469,2561.713816041912,2561.713816041912,-1089.4123211500482,-1089.4123211500482,-1089.4123211500482,183.54413117705113,183.54413117705113,183.54413117705113,-1272.9564523270994,-1272.9564523270994,-1272.9564523270994,0.0,0.0,0.0,1472.301494891864
4,2021-01-05,2562.2886551133247,1160.6083275197873,2299.723206432205,2562.2886551133247,2562.2886551133247,-847.1063733946182,-847.1063733946182,-847.1063733946182,392.6138846834969,392.6138846834969,392.6138846834969,-1239.7202580781152,-1239.7202580781152,-1239.7202580781152,0.0,0.0,0.0,1715.1822817187065
5,2021-01-06,2562.863494184737,1145.3971675277814,2283.4663814021897,2562.863494184737,2562.863494184737,-841.3989502625014,-841.3989502625014,-841.3989502625014,361.9976069287873,361.9976069287873,361.9976069287873,-1203.3965571912886,-1203.3965571912886,-1203.3965571912886,0.0,0.0,0.0,1721.4645439222359
6,2021-01-07,2563.438333256149,1135.134029939437,2315.493317523122,2563.438333256149,2563.438333256149,-818.9795514292009,-818.9795514292009,-818.9795514292009,345.77714542773623,345.77714542773623,345.77714542773623,-1164.7566968569372,-1164.7566968569372,-1164.7566968569372,0.0,0.0,0.0,1744.4587818269479
7,2021-01-08,2564.0131723275613,994.1922791279509,2125.4195180240026,2564.0131723275613,2564.0131723275613,-988.3884017481416,-988.3884017481416,-988.3884017481416,136.20737934199286,136.20737934199286,136.20737934199286,-1124.5957810901346,-1124.5957810901346,-1124.5957810901346,0.0,0.0,0.0,1575.6247705794196
8,2021-01-09,2564.588011398974,184.19259021557758,1371.0526493686461,2564.588011398974,2564.588011398974,-1798.435048122554,-1798.435048122554,-1798.435048122554,-714.7203277968322,-714.7203277968322,-714.7203277968322,-1083.7147203257216,-1083.7147203257216,-1083.7147203257216,0.0,0.0,0.0,766.1529632764198
9,2021-01-10,2565.1628504703863,251.25378192397,1434.8549267519606,2565.1628504703863,2565.1628504703863,-1748.3221685814501,-1748.3221685814501,-1748.3221685814501,-705.4198197623011,-705.4198197623011,-705.4198197623011,-1042.9023488191492,-1042.9023488191492,-1042.9023488191492,0.0,0.0,0.0,816.8406818889362
10,2021-01-11,2565.7376895417988,1176.5197682374571,2283.2841369880994,2565.7376895417988,2565.7376895417988,-819.3739130802184,-819.3739130802184,-819.3739130802184,183.544131174679,183.544131174679,183.544131174679,-1002.9180442548974,-1002.9180442548974,-1002.9180442548974,0.0,0.0,0.0,1746.3637764615805
11,2021-01-12,2566.3125286132113,1430.0564126792426,2550.575138314045,2566.3125286132113,2566.3125286132113,-571.8613839006855,-571.8613839006855,-571.8613839006855,392.6138846835655,392.6138846835655,392.6138846835655,-964.475268584251,-964.475268584251,-964.475268584251,0.0,0.0,0.0,1994.4511447125258
12,2021-01-13,2566.8873676846238,1409.8346951574606,2608.3645203489873,2566.8873676846238,2566.8873676846238,-566.2288162258803,-566.2288162258803,-566.2288162258803,361.99760692877646,361.99760692877646,361.99760692877646,-928.2264231546568,-928.2264231546568,-928.2264231546568,0.0,0.0,0.0,2000.6585514587434
13,2021-01-14,2567.4622067560363,1411.1011893501263,2599.799438823474,2567.4622067560363,2567.4622067560363,-548.9722299488789,-548.9722299488789,-548.9722299488789,345.77714542783383,345.77714542783383,345.77714542783383,-894.7493753767127,-894.7493753767127,-894.7493753767127,0.0,0.0,0.0,2018.4899768071573
14,2021-01-15,2568.0370458274488,1267.5067945820442,2378.7159447508666,2568.0370458274488,2568.0370458274488,-728.328590129227,-728.328590129227,-728.328590129227,136.2073793413884,136.2073793413884,136.2073793413884,-864.5359694706154,-864.5359694706154,-864.5359694706154,0.0,0.0,0.0,1839.7084556982218
15,2021-01-16,2568.6118848988613,453.34925902215844,1613.6732729530072,2568.6118848988613,2568.6118848988613,-1552.7031092483783,-1552.7031092483783,-1552.7031092483783,-714.7203277976106,-714.7203277976106,-714.7203277976106,-837.9827814507676,-837.9827814507676,-837.9827814507676,0.0,0.0,0.0,1015.908775650483
16,2021-01-17,2569.1867239702733,500.1415106677988,1665.9577394798073,2569.1867239702733,2569.1867239702733,-1520.8041396065482,-1520.8041396065482,-1520.8041396065482,-705.4198197623597,-705.4198197623597,-705.4198197623597,-815.3843198441886,-815.3843198441886,-815.3843198441886,0.0,0.0,0.0,1048.382584363725
17,2021-01-18,2569.761563041686,1374.8652069921495,2550.859288843443,2569.761563041686,2569.761563041686,-613.3846790696376,-613.3846790696376,-613.3846790696376,183.54413117496355,183.54413117496355,183.54413117496355,-796.9288102446014,-796.9288102446014,-796.9288102446014,0.0,0.0,0.0,1956.3768839720483
18,2021-01-19,2570.3364021130983,1615.9105273369148,2794.4387767966687,2570.3364021130983,2570.3392243560893,-390.0827506791337,-390.0827506791337,-390.0827506791337,392.61388468328005,392.61388468328005,392.61388468328005,-782.6966353624138,-782.6966353624138,-782.6966353624138,0.0,0.0,0.0,2180.2536514339645
19,2021-01-20,2570.911241184511,1624.7237501511497,2763.229103402225,2570.9004575874005,2570.928756594427,-410.66382754253897,-410.66382754253897,-410.66382754253897,361.9976069287498,361.9976069287498,361.9976069287498,-772.6614344712887,-772.6614344712887,-772.6614344712887,0.0,0.0,0.0,2160.247413641972
20,2021-01-21,2571.4860802559233,1589.5315938122856,2732.4244112216197,2571.4516117393046,2571.5272878419196,-420.91665342547753,-420.91665342547753,-420.91665342547753,345.7771454279313,345.7771454279313,345.7771454279313,-766.6937988534089,-766.6937988534089,-766.6937988534089,0.0,0.0,0.0,2150.569426830446
21,2021-01-22,2572.060919327336,1386.8179282295748,2535.664068726716,2572.001551584753,2572.120500641798,-628.3600553974629,-628.3600553974629,-628.3600553974629,136.2073793436684,136.2073793436684,136.2073793436684,-764.5674347411313,-764.5674347411313,-764.5674347411313,0.0,0.0,0.0,1943.7008639298729
22,2021-01-23,2572.6357583987483,535.3337453877585,1615.7936992607276,2572.550331438078,2572.718749891532,-1480.687931823726,-1480.687931823726,-1480.687931823726,-714.7203277975224,-714.7203277975224,-714.7203277975224,-765.9676040262038,-765.9676040262038,-765.9676040262038,0.0,0.0,0.0,1091.9478265750222
23,2021-01-24,2573.210597470161,525.0945383210508,1655.4237793469647,2573.104622297937,2573.3582986179667,-1475.9214169753486,-1475.9214169753486,-1475.9214169753486,-705.4198197615658,-705.4198197615658,-705.4198197615658,-770.5015972137828,-770.5015972137828,-770.5015972137828,0.0,0.0,0.0,1097.2891804948122
24,2021-01-25,2573.7854365415733,1389.7512080656545,2550.8667235329276,2573.6230415248538,2573.9849721483533,-594.1668129778799,-594.1668129778799,-594.1668129778799,183.54413117558295,183.54413117558295,183.54413117558295,-777.7109441534628,-777.7109441534628,-777.7109441534628,0.0,0.0,0.0,1979.6186235636933
25,2021-01-26,2574.360275612986,1612.4178645363988,2799.6285791475643,2574.1697675511746,2574.5913128711577,-394.47114251021833,-394.47114251021833,-394.47114251021833,392.61388468334866,392.61388468334866,392.61388468334866,-787.0850271935669,-787.0850271935669,-787.0850271935669,0.0,0.0,0.0,2179.8891331027676
26,2021-01-27,2574.935114684398,1578.8566811814862,2745.2105312332546,2574.725449977185,2575.203978238956,-436.0781226540875,-436.0781226540875,-436.0781226540875,361.9976069288662,361.9976069288662,361.9976069288662,-798.0757295829537,-798.0757295829537,-798.0757295829537,0.0,0.0,0.0,2138.8569920303103
27,2021-01-28,2575.5099537558103,1505.6583796890525,2666.359663288907,2575.281280661463,2575.8122499207875,-464.33558450643505,-464.33558450643505,-464.33558450643505,345.77714542802886,345.77714542802886,345.77714542802886,-810.1127299344639,-810.1127299344639,-810.1127299344639,0.0,0.0,0.0,2111.174369249375
28,2021-01-29,2576.084792827223,1316.3487002903737,2448.683511858981,2575.810704952669,2576.4267374168944,-686.4116625056718,-686.4116625056718,-686.4116625056718,136.20737934341855,136.20737934341855,136.20737934341855,-822.6190418490904,-822.6190418490904,-822.6190418490904,0.0,0.0,0.0,1889.673130321551
29,2021-01-30,2576.6596318986353,425.665072999105,1647.3545272769547,2576.3415302620224,2577.044728522091,-1549.7467244004574,-1549.7467244004574,-1549.7467244004574,-714.7203277983009,-714.7203277983009,-714.7203277983009,-835.0263966021565,-835.0263966021565,-835.0263966021565,0.0,0.0,0.0,1026.912907498178
30,2021-01-31,2577.2344709700474,459.93220774017055,1620.274831618829,2576.8894200761797,2577.671270052756,-1552.209895792148,-1552.209895792148,-1552.209895792148,-705.4198197611979,-705.4198197611979,-705.4198197611979,-846.7900760309504,-846.7900760309504,-846.7900760309504,0.0,0.0,0.0,1025.0245751778994
31,2021-02-01,2577.80931004146,1295.5532333719877,2486.2721590490205,2577.4216926460285,2578.2902798134382,-673.8586909303356,-673.8586909303356,-673.8586909303356,183.54413117620237,183.54413117620237,183.54413117620237,-857.4028221065379,-857.4028221065379,-857.4028221065379,0.0,0.0,0.0,1903.9506191111243
32,2021-02-02,2578.3841491128724,1554.8853899566438,2664.801066797453,2577.93870984518,2578.9043077459164,-473.79359382569726,-473.79359382569726,-473.79359382569726,392.6138846836155,392.6138846836155,392.6138846836155,-866.4074785093128,-866.4074785093128,-866.4074785093128,0.0,0.0,0.0,2104.590555287175
33,2021-02-03,2578.958988184285,1492.3972304919039,2611.5507957255104,2578.499526833963,2579.502287985526,-511.41045007492806,-511.41045007492806,-511.41045007492806,361.9976069288237,361.9976069288237,361.9976069288237,-873.4080570037517,-873.4080570037517,-873.4080570037517,0.0,0.0,0.0,2067.5485381093567
34,2021-02-04,2579.5338272556974,1478.624983950121,2636.3543276199152,2579.0522497161764,2580.1161676958427,-532.3018210317005,-532.3018210317005,-532.3018210317005,345.7771454279208,345.7771454279208,345.7771454279208,-878.0789664596213,-878.0789664596213,-878.0789664596213,0.0,0.0,0.0,2047.232006223997
35,2021-02-05,2580.1086663271094,1247.1645521847154,2476.645285324185,2579.5826353400194,2580.7375825550766,-743.9648143781496,-743.9648143781496,-743.9648143781496,136.2073793424595,136.2073793424595,136.2073793424595,-880.172193720609,-880.172193720609,-880.172193720609,0.0,0.0,0.0,1836.1438519489598
36,2021-02-06,2580.683505398522,414.58749612428903,1574.309929189356,2580.133635810073,2581.3447085703965,-1594.2426095655135,-1594.2426095655135,-1594.2426095655135,-714.7203277966355,-714.7203277966355,-714.7203277966355,-879.5222817688777,-879.5222817688777,-879.5222817688777,0.0,0.0,0.0,986.4408958330084
37,2021-02-07,2581.2583444699344,408.6527830759719,1583.9784400744995,2580.6823496521856,2581.962099623783,-1581.468830000211,-1581.468830000211,-1581.468830000211,-705.4198197633901,-705.4198197633901,-705.4198197633901,-876.0490102368211,-876.0490102368211,-876.0490102368211,0.0,0.0,0.0,999.7895144697234
38,2021-02-08,2581.833183541347,1308.197675295171,2489.239535116407,2581.171714294721,2582.576668678162,-686.2136134939882,-686.2136134939882,-686.2136134939882,183.5441311768217,183.5441311768217,183.5441311768217,-869.75774467081,-869.75774467081,-869.75774467081,0.0,0.0,0.0,1895.6195700473586
39,2021-02-09,2582.4080226127594,1602.677748532669,2703.4972895480523,2581.701641870919,2583.1929023562957,-468.1235977352035,-468.1235977352035,-468.1235977352035,392.61388468350697,392.61388468350697,392.61388468350697,-860.7374824187104,-860.7374824187104,-860.7374824187104,0.0,0.0,0.0,2114.284424877556
40,2021-02-10,2582.982861684172,1528.9837482300895,2675.407150028994,2582.24553832061,2583.8142300404534,-487.1590760435401,-487.1590760435401,-487.1590760435401,361.99760692881273,361.99760692881273,361.99760692881273,-849.1566829723528,-849.1566829723528,-849.1566829723528,0.0,0.0,0.0,2095.8237856406317
41,2021-02-11,2583.557700755584,1494.2493310164757,2670.3524250052988,2582.789434770302,2584.4318155278415,-489.47988205182656,-489.47988205182656,-489.47988205182656,345.77714542822395,345.77714542822395,345.77714542822395,-835.2570274800505,-835.2570274800505,-835.2570274800505,0.0,0.0,0.0,2094.077818703757
42,2021-02-12,2584.1325398269964,1347.9645295426296,2520.217087728486,2583.318090518637,2585.063777819211,-683.1379251469949,-683.1379251469949,-683.1379251469949,136.20737934220958,136.20737934220958,136.20737934220958,-819.3453044892044,-819.3453044892044,-819.3453044892044,0.0,0.0,0.0,1900.9946146800016
