,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,4167.518974637113,791.3851472449637,3189.090210100265,4167.518974637113,4167.518974637113,-2201.2908795179287,-2201.2908795179287,-2201.2908795179287,356.00146812206356,356.00146812206356,356.00146812206356,-2557.2923476399924,-2557.2923476399924,-2557.2923476399924,0.0,0.0,0.0,1966.2280951191847
1,2021-01-02,4167.7474971115025,-901.1448768423387,1501.6155982604566,4167.7474971115025,4167.7474971115025,-3855.227251836392,-3855.227251836392,-3855.227251836392,-1322.6530630985505,-1322.6530630985505,-1322.6530630985505,-2532.5741887378426,-2532.5741887378426,-2532.5741887378426,0.0,0.0,0.0,312.5202452751105
2,2021-01-03,4167.976019585891,-1418.8210972211095,954.9505733437499,4167.976019585891,4167.976019585891,-4430.62263510285,-4430.62263510285,-4430.62263510285,-1933.1936202431448,-1933.1936202431448,-1933.1936202431448,-2497.4290148597042,-2497.4290148597042,-2497.4290148597042,0.0,0.0,0.0,-262.6466155169592
3,2021-01-04,4168.204542060279,1079.0794401953235,3334.831019152208,4168.204542060279,4168.204542060279,-1967.3853987344853,-1967.3853987344853,-1967.3853987344853,485.43800050599725,485.43800050599725,485.43800050599725,-2452.8233992404826,-2452.8233992404826,-2452.8233992404826,0.0,0.0,0.0,2200.8191433257934
4,2021-01-05,4168.433064534668,1494.0388917609023,3847.9588216376333,4168.433064534668,4168.433064534668,-1535.2670145311417,-1535.2670145311417,-1535.2670145311417,864.6186953999407,864.6186953999407,864.6186953999407,-2399.885709931082,-2399.885709931082,-2399.885709931082,0.0,0.0,0.0,2633.1660500035264
5,2021-01-06,4168.661587009056,1489.0434141045473,3724.4123778687153,4168.661587009056,4168.661587009056,-1520.6471674505249,-1520.6471674505249,-1520.6471674505249,819.232134240539,819.232134240539,819.232134240539,-2339.879301691064,-2339.879301691064,-2339.879301691064,0.0,0.0,0.0,2648.0144195585317
6,2021-01-07,4168.890109483445,1465.7556824738112,3836.1372932068293,4168.890109483445,4168.890109483445,-1543.6163732124191,-1543.6163732124191,-1543.6163732124191,730.556385078453,730.556385078453,730.556385078453,-2274.1727582908725,-2274.1727582908725,-2274.1727582908725,0.0,0.0,0.0,2625.2737362710254
7,2021-01-08,4169.118631957833,1115.2000946212127,3479.7790177098395,4169.118631957833,4169.118631957833,-1848.20645979662,-1848.20645979662,-1848.20645979662,356.00146812060837,356.00146812060837,356.00146812060837,-2204.2079279172285,-2204.2079279172285,-2204.2079279172285,0.0,0.0,0.0,2320.9121721612128
8,2021-01-09,4169.347154432222,-473.63182282842945,1933.531106055155,4169.347154432222,4169.347154432222,-3454.1196098089627,-3454.1196098089627,-3454.1196098089627,-1322.6530630993866,-1322.6530630993866,-1322.6530630993866,-2131.4665467095756,-2131.4665467095756,-2131.4665467095756,0.0,0.0,0.0,715.2275446232593
9,2021-01-10,4169.57567690661,-953.8597213733334,1403.222510830156,4169.57567690661,4169.57567690661,-3990.629897523795,-3990.629897523795,-3990.629897523795,-1933.1936202465477,-1933.1936202465477,-1933.1936202465477,-2057.4362772772474,-2057.4362772772474,-2057.4362772772474,0.0,0.0,0.0,178.9457793828151
10,2021-01-11,4169.804199380998,1481.5865698825216,3904.4927925599177,4169.804199380998,4169.804199380998,-1498.1389990814048,-1498.1389990814048,-1498.1389990814048,485.43800049970565,485.43800049970565,485.43800049970565,-1983.5769995811106,-1983.5769995811106,-1983.5769995811106,0.0,0.0,0.0,2671.6652002995934
11,2021-01-12,4170.032721855387,1962.5440380476412,4312.264945183845,4170.032721855387,4170.032721855387,-1046.6694851966656,-1046.6694851966656,-1046.6694851966656,864.6186953993249,864.6186953993249,864.6186953993249,-1911.2881805959903,-1911.2881805959903,-1911.2881805959903,0.0,0.0,0.0,3123.363236658721
12,2021-01-13,4170.261244329776,1955.0039625496013,4273.722275825472,4170.261244329776,4170.261244329776,-1022.6459828140339,-1022.6459828140339,-1022.6459828140339,819.2321342413619,819.2321342413619,819.2321342413619,-1841.8781170553962,-1841.8781170553962,-1841.8781170553962,0.0,0.0,0.0,3147.6152615157416
13,2021-01-14,4170.489766804164,1850.8805794963291,4207.650687881612,4170.489766804164,4170.489766804164,-1045.9794081599787,-1045.9794081599787,-1045.9794081599787,730.5563850790874,730.5563850790874,730.5563850790874,-1776.535793239066,-1776.535793239066,-1776.535793239066,0.0,0.0,0.0,3124.5103586441855
14,2021-01-15,4170.718289278552,1636.3910301307656,3988.770928346317,4170.718289278552,4170.718289278552,-1360.3045565042405,-1360.3045565042405,-1360.3045565042405,356.0014681191531,356.0014681191531,356.0014681191531,-1716.3060246233936,-1716.3060246233936,-1716.3060246233936,0.0,0.0,0.0,2810.413732774312
15,2021-01-16,4170.946811752941,77.6643114467974,2462.19932583841,4170.946811752941,4170.946811752941,-2984.721533320622,-2984.721533320622,-2984.721533320622,-1322.6530631017977,-1322.6530631017977,-1322.6530631017977,-1662.0684702188244,-1662.0684702188244,-1662.0684702188244,0.0,0.0,0.0,1186.2252784323196
16,2021-01-17,4171.17533422733,-624.1135733263377,1728.4740758786138,4171.17533422733,4171.17533422733,-3547.714614187558,-3547.714614187558,-3547.714614187558,-1933.193620246832,-1933.193620246832,-1933.193620246832,-1614.5209939407252,-1614.5209939407252,-1614.5209939407252,0.0,0.0,0.0,623.4607200397718
17,2021-01-18,4171.403856701718,1898.1445471893715,4243.78697143543,4171.403846114004,4171.403856701718,-1088.729740627607,-1088.729740627607,-1088.729740627607,485.43800050095825,485.43800050095825,485.43800050095825,-1574.1677411285652,-1574.1677411285652,-1574.1677411285652,0.0,0.0,0.0,3082.6741160741108
18,2021-01-19,4171.632379176106,2284.7407619645455,4586.0356121126415,4171.629042323622,4171.634211055764,-676.693478009667,-676.693478009667,-676.693478009667,864.6186953999616,864.6186953999616,864.6186953999616,-1541.3121734096287,-1541.3121734096287,-1541.3121734096287,0.0,0.0,0.0,3494.938901166439
19,2021-01-20,4171.860901650495,2215.897211271171,4634.248267762692,4171.854050393917,4171.865657510062,-696.8230424890369,-696.8230424890369,-696.8230424890369,819.232134240858,819.232134240858,819.232134240858,-1516.055176729895,-1516.055176729895,-1516.055176729895,0.0,0.0,0.0,3475.037859161458
