,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,4619.125711049282,1090.361429776192,3682.8804248532956,4619.125711049282,4619.125711049282,-2325.5711702311005,-2325.5711702311005,-2325.5711702311005,420.3792181996533,420.3792181996533,420.3792181996533,-2745.9503884307533,-2745.9503884307533,-2745.9503884307533,0.0,0.0,0.0,2293.554540818181
1,2021-01-02,4619.80955478736,-776.4439278411509,1733.1278794230304,4619.80955478736,4619.80955478736,-4112.419606738894,-4112.419606738894,-4112.419606738894,-1390.8341023179466,-1390.8341023179466,-1390.8341023179466,-2721.585504420947,-2721.585504420947,-2721.585504420947,0.0,0.0,0.0,507.38994804846607
2,2021-01-03,4620.493398525439,-1380.4534128273413,1120.0953259701428,4620.493398525439,4620.493398525439,-4764.510778592099,-4764.510778592099,-4764.510778592099,-2078.641722795174,-2078.641722795174,-2078.641722795174,-2685.8690557969253,-2685.8690557969253,-2685.8690557969253,0.0,0.0,0.0,-144.01738006665983
3,2021-01-04,4621.1772422635195,1182.0865410890704,3776.758368082916,4621.1772422635195,4621.1772422635195,-2153.8279153470403,-2153.8279153470403,-2153.8279153470403,485.9505194061809,485.9505194061809,485.9505194061809,-2639.778434753221,-2639.778434753221,-2639.778434753221,0.0,0.0,0.0,2467.349326916479
4,2021-01-05,4621.861086001598,1671.2275626999372,4244.994616694235,4621.861086001598,4621.861086001598,-1662.8992798755253,-1662.8992798755253,-1662.8992798755253,921.5710651097636,921.5710651097636,921.5710651097636,-2584.470344985289,-2584.470344985289,-2584.470344985289,0.0,0.0,0.0,2958.9618061260726
5,2021-01-06,4622.544929739677,1714.6302025023328,4249.130206544545,4622.544929739677,4622.544929739677,-1655.7840417291247,-1655.7840417291247,-1655.7840417291247,865.4696155410637,865.4696155410637,865.4696155410637,-2521.253657270188,-2521.253657270188,-2521.253657270188,0.0,0.0,0.0,2966.7608880105527
6,2021-01-07,4623.228773477756,1716.8881718402117,4183.44092069206,4623.228773477756,4623.228773477756,-1675.453499738689,-1675.453499738689,-1675.453499738689,776.1054068620792,776.1054068620792,776.1054068620792,-2451.5589066007688,-2451.5589066007688,-2451.5589066007688,0.0,0.0,0.0,2947.7752737390665
7,2021-01-08,4623.912617215835,1390.1240732257484,3924.2743803788935,4623.912617215835,4623.912617215835,-1956.525966752878,-1956.525966752878,-1956.525966752878,420.37921819812607,420.37921819812607,420.37921819812607,-2376.9051849510042,-2376.9051849510042,-2376.9051849510042,0.0,0.0,0.0,2667.386650462957
8,2021-01-09,4624.596460953914,-261.54494136295415,2158.559682375123,4624.596460953914,4624.596460953914,-3689.6993486831466,-3689.6993486831466,-3689.6993486831466,-1390.8341023188727,-1390.8341023188727,-1390.8341023188727,-2298.8652463642734,-2298.8652463642734,-2298.8652463642734,0.0,0.0,0.0,934.8971122707676
9,2021-01-10,4625.2803046919935,-831.789865012869,1650.7805737271003,4625.2803046919935,4625.2803046919935,-4297.67140555349,-4297.67140555349,-4297.67140555349,-2078.6417227986763,-2078.6417227986763,-2078.6417227986763,-2219.0296827548136,-2219.0296827548136,-2219.0296827548136,0.0,0.0,0.0,327.60889913850315
10,2021-01-11,4625.964148430073,1710.417870939438,4249.807289648441,4625.964148430073,4625.964148430073,-1653.0205291552084,-1653.0205291552084,-1653.0205291552084,485.95051939939987,485.95051939939987,485.95051939939987,-2138.9710485546084,-2138.9710485546084,-2138.9710485546084,0.0,0.0,0.0,2972.9436192748644
