,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,1319.8747118592964,300.21708143300185,1060.5495588487424,1319.8747118592964,1319.8747118592964,-628.184286741038,-628.184286741038,-628.184286741038,76.0280177289461,76.0280177289461,76.0280177289461,-704.2123044699841,-704.2123044699841,-704.2123044699841,0.0,0.0,0.0,691.6904251182584
1,2021-01-02,1320.0557706112586,-166.77754032937014,586.3188273309324,1320.0557706112586,1320.0557706112586,-1126.8297081024134,-1126.8297081024134,-1126.8297081024134,-434.86866596511965,-434.86866596511965,-434.86866596511965,-691.9610421372939,-691.9610421372939,-691.9610421372939,0.0,0.0,0.0,193.2260625088452
2,2021-01-03,1320.2368293632207,-260.35283008392173,517.3135766452089,1320.2368293632207,1320.2368293632207,-1192.2215654887334,-1192.2215654887334,-1192.2215654887334,-515.4266766392759,-515.4266766392759,-515.4266766392759,-676.7948888494575,-676.7948888494575,-676.7948888494575,0.0,0.0,0.0,128.01526387448735
3,2021-01-04,1320.4178881151834,470.4085526369114,1202.3636178855368,1320.4178881151834,1320.4178881151834,-484.30547791082296,-484.30547791082296,-484.30547791082296,174.76238947645268,174.76238947645268,174.76238947645268,-659.0678673872757,-659.0678673872757,-659.0678673872757,0.0,0.0,0.0,836.1124102043605
4,2021-01-05,1320.5989468671455,576.9624056145807,1284.5275413278803,1320.5989468671455,1320.5989468671455,-389.38612369098325,-389.38612369098325,-389.38612369098325,249.79607778676922,249.79607778676922,249.79607778676922,-639.1822014777525,-639.1822014777525,-639.1822014777525,0.0,0.0,0.0,931.2128231761623
5,2021-01-06,1320.7800056191077,520.9292333509384,1297.1793699901893,1320.7800056191077,1320.7800056191077,-389.8057104731169,-389.8057104731169,-389.8057104731169,227.77361596142018,227.77361596142018,227.77361596142018,-617.579326434537,-617.579326434537,-617.579326434537,0.0,0.0,0.0,930.9742951459907
6,2021-01-07,1320.9610643710703,593.1074276322842,1311.3909920398255,1320.9610643710703,1320.9610643710703,-372.794693073237,-372.794693073237,-372.794693073237,221.9352416524323,221.9352416524323,221.9352416524323,-594.7299347256693,-594.7299347256693,-594.7299347256693,0.0,0.0,0.0,948.1663712978333
7,2021-01-08,1321.1421231230324,460.6204538751334,1193.1404167110923,1321.1421231230324,1321.1421231230324,-495.0952813623292,-495.0952813623292,-495.0952813623292,76.02801772850293,76.02801772850293,76.02801772850293,-571.1232990908321,-571.1232990908321,-571.1232990908321,0.0,0.0,0.0,826.0468417607033
8,2021-01-09,1321.3231818749946,-52.47673368121427,704.0284202299738,1321.3231818749946,1321.3231818749946,-982.1248016569643,-982.1248016569643,-982.1248016569643,-434.8686659653365,-434.8686659653365,-434.8686659653365,-547.256135691628,-547.256135691628,-547.256135691628,0.0,0.0,0.0,339.19838021803025
9,2021-01-10,1321.5042406269567,-68.63917647250642,641.3719854533532,1321.5042406269567,1321.5042406269567,-1039.0479595253332,-1039.0479595253332,-1039.0479595253332,-515.426676640487,-515.426676640487,-515.426676640487,-523.621282884846,-523.621282884846,-523.621282884846,0.0,0.0,0.0,282.4562811016235
10,2021-01-11,1321.6852993789194,606.0389505804986,1368.713066438868,1321.6852993789194,1321.6852993789194,-325.9340876924322,-325.9340876924322,-325.9340876924322,174.762389474775,174.762389474775,174.762389474775,-500.69647716720704,-500.69647716720704,-500.69647716720704,0.0,0.0,0.0,995.7512116864872
11,2021-01-12,1321.8663581308815,744.8213690447327,1469.3319969386503,1321.8663581308815,1321.8663581308815,-229.1374286699737,-229.1374286699737,-229.1374286699737,249.79607778661355,249.79607778661355,249.79607778661355,-478.9335064565872,-478.9335064565872,-478.9335064565872,0.0,0.0,0.0,1092.7289294609077
