,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,1690.1121542732308,712.2265959633451,1396.5814986727212,1690.1121542732308,1690.1121542732308,-646.5744138277296,-646.5744138277296,-646.5744138277296,60.70717673941113,60.70717673941113,60.70717673941113,-707.2815905671408,-707.2815905671408,-707.2815905671408,0.0,0.0,0.0,1043.5377404455012
1,2021-01-02,1691.0792331791586,206.92451815202662,899.6002150622072,1691.0792331791586,1691.0792331791586,-1141.0419003782097,-1141.0419003782097,-1141.0419003782097,-441.46640467016135,-441.46640467016135,-441.46640467016135,-699.5754957080485,-699.5754957080485,-699.5754957080485,0.0,0.0,0.0,550.0373328009489
2,2021-01-03,1692.0463120850868,287.8318568422819,993.2772713011785,1692.0463120850868,1692.0463120850868,-1066.5319328377118,-1066.5319328377118,-1066.5319328377118,-377.03281065943145,-377.03281065943145,-377.03281065943145,-689.4991221782805,-689.4991221782805,-689.4991221782805,0.0,0.0,0.0,625.514379247375
3,2021-01-04,1693.0133909910148,846.5593595873463,1543.0546359966288,1693.0133909910148,1693.0133909910148,-511.8907826151533,-511.8907826151533,-511.8907826151533,165.40840695604075,165.40840695604075,165.40840695604075,-677.2991895711941,-677.2991895711941,-677.2991895711941,0.0,0.0,0.0,1181.1226083758615
4,2021-01-05,1693.9804698969429,921.7979347971922,1600.031766897136,1693.9804698969429,1693.9804698969429,-421.5241801031516,-421.5241801031516,-421.5241801031516,241.73539304670038,241.73539304670038,241.73539304670038,-663.259573149852,-663.259573149852,-663.259573149852,0.0,0.0,0.0,1272.4562897937913
5,2021-01-06,1694.9475488028706,891.453214537626,1583.1329049783758,1694.9475488028706,1694.9475488028706,-459.99985058582683,-459.99985058582683,-459.99985058582683,187.69471417685196,187.69471417685196,187.69471417685196,-647.6945647626789,-647.6945647626789,-647.6945647626789,0.0,0.0,0.0,1234.9476982170438
6,2021-01-07,1695.9146277087991,885.7334575933902,1574.2819518488636,1695.9146277087991,1695.9146277087991,-467.98791431592787,-467.98791431592787,-467.98791431592787,162.95352441226626,162.95352441226626,162.95352441226626,-630.9414387281942,-630.9414387281942,-630.9414387281942,0.0,0.0,0.0,1227.9267133928713
7,2021-01-08,1696.8817066147267,790.5497783626888,1496.5483326712406,1696.8817066147267,1696.8817066147267,-552.6453352322695,-552.6453352322695,-552.6453352322695,60.70717673905474,60.70717673905474,60.70717673905474,-613.3525119713244,-613.3525119713244,-613.3525119713244,0.0,0.0,0.0,1144.236371382457
8,2021-01-09,1697.848785520655,299.97395531368517,1002.6635151285572,1697.848785520655,1697.848785520655,-1036.7533048712578,-1036.7533048712578,-1036.7533048712578,-441.46640467033257,-441.46640467033257,-441.46640467033257,-595.2869002009252,-595.2869002009252,-595.2869002009252,0.0,0.0,0.0,661.0954806493971
9,2021-01-10,1698.8158644265827,410.85579349803663,1092.013813671184,1698.8158644265827,1698.8158644265827,-954.1349897624966,-954.1349897624966,-954.1349897624966,-377.0328106606001,-377.0328106606001,-377.0328106606001,-577.1021791018966,-577.1021791018966,-577.1021791018966,0.0,0.0,0.0,744.6808746640861
10,2021-01-11,1699.782943332511,947.8285983582529,1661.1471078198242,1699.782943332511,1699.782943332511,-393.73775423724436,-393.73775423724436,-393.73775423724436,165.40840695470234,165.40840695470234,165.40840695470234,-559.1461611919466,-559.1461611919466,-559.1461611919466,0.0,0.0,0.0,1306.0451890952666
11,2021-01-12,1700.750022238439,1046.8481665710017,1747.3139889286447,1700.750022238439,1700.750022238439,-300.0136020856113,-300.0136020856113,-300.0136020856113,241.73539304673952,241.73539304673952,241.73539304673952,-541.7489951323507,-541.7489951323507,-541.7489951323507,0.0,0.0,0.0,1400.7364201528276
