,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,657.379826667235,176.45360075843186,561.5019626278684,657.379826667235,657.379826667235,-297.8390543364538,-297.8390543364538,-297.8390543364538,44.59313296933201,44.59313296933201,44.59313296933201,-342.43218730578576,-342.43218730578576,-342.43218730578576,0.0,0.0,0.0,359.5407723307812
1,2021-01-02,657.6064816617288,-52.99550595540153,348.58895239604556,657.6064816617288,657.6064816617288,-508.5261057777875,-508.5261057777875,-508.5261057777875,-168.7823550140936,-168.7823550140936,-168.7823550140936,-339.7437507636938,-339.7437507636938,-339.7437507636938,0.0,0.0,0.0,149.08037588394131
2,2021-01-03,657.8331366562227,-105.05965276192615,288.0077522631899,657.8331366562227,657.8331366562227,-576.4187302568905,-576.4187302568905,-576.4187302568905,-240.4274290499172,-240.4274290499172,-240.4274290499172,-335.99130120697333,-335.99130120697333,-335.99130120697333,0.0,0.0,0.0,81.41440639933217
3,2021-01-04,658.0597916507165,197.06545585612588,616.2664078402,658.0597916507165,658.0597916507165,-251.1613202306352,-251.1613202306352,-251.1613202306352,80.12822077124058,80.12822077124058,80.12822077124058,-331.2895410018758,-331.2895410018758,-331.2895410018758,0.0,0.0,0.0,406.89847142008136
4,2021-01-05,658.2864466452104,242.0577728320106,652.8610172694248,658.2864466452104,658.2864466452104,-206.12386094941272,-206.12386094941272,-206.12386094941272,119.64608799883922,119.64608799883922,119.64608799883922,-325.76994894825197,-325.76994894825197,-325.76994894825197,0.0,0.0,0.0,452.1625856957977
5,2021-01-06,658.5131016397041,214.06463709074563,634.0268994028768,658.5131016397041,658.5131016397041,-234.8949166544521,-234.8949166544521,-234.8949166544521,84.68264262321134,84.68264262321134,84.68264262321134,-319.5775592776634,-319.5775592776634,-319.5775592776634,0.0,0.0,0.0,423.618184985252
6,2021-01-07,658.739756634198,215.42667400956054,648.386133683996,658.739756634198,658.739756634198,-232.70772544084977,-232.70772544084977,-232.70772544084977,80.15969970207804,80.15969970207804,80.15969970207804,-312.8674251429278,-312.8674251429278,-312.8674251429278,0.0,0.0,0.0,426.0320311933482
7,2021-01-08,658.9664116286918,197.28724559623876,619.0305551351973,658.9664116286918,658.9664116286918,-261.207723751484,-261.207723751484,-261.207723751484,44.59313296915458,44.59313296915458,44.59313296915458,-305.8008567206386,-305.8008567206386,-305.8008567206386,0.0,0.0,0.0,397.7586878772078
8,2021-01-09,659.1930666231857,-6.31538546878802,400.33601165288246,659.1930666231857,659.1930666231857,-467.32388492800317,-467.32388492800317,-467.32388492800317,-168.78235501420565,-168.78235501420565,-168.78235501420565,-298.5415299137976,-298.5415299137976,-298.5415299137976,0.0,0.0,0.0,191.86918169518253
9,2021-01-10,659.4197216176794,-83.04589584558151,337.9222841593455,659.4197216176794,659.4197216176794,-531.6789940428494,-531.6789940428494,-531.6789940428494,-240.4274290504118,-240.4274290504118,-240.4274290504118,-291.2515649924375,-291.2515649924375,-291.2515649924375,0.0,0.0,0.0,127.74072757483009
10,2021-01-11,659.6463766121733,255.43506430405517,650.0740816352213,659.6463766121733,659.6463766121733,-203.95945447980904,-203.95945447980904,-203.95945447980904,80.12822077041835,80.12822077041835,80.12822077041835,-284.08767525022733,-284.08767525022733,-284.08767525022733,0.0,0.0,0.0,455.68692213236426
11,2021-01-12,659.8730316066672,291.2693505161842,690.714346190856,659.8730316066672,659.8730316066672,-157.55139585971781,-157.55139585971781,-157.55139585971781,119.64608799873729,119.64608799873729,119.64608799873729,-277.1974838584551,-277.1974838584551,-277.1974838584551,0.0,0.0,0.0,502.32163574694937
12,2021-01-13,660.0996866011609,275.4428407600603,694.5673823870094,660.0996866011609,660.0996866011609,-186.03345998645173,-186.03345998645173,-186.03345998645173,84.68264262330422,84.68264262330422,84.68264262330422,-270.716102609756,-270.716102609756,-270.716102609756,0.0,0.0,0.0,474.0662266147092
13,2021-01-14,660.3263415956549,274.15725939209005,672.0888336688416,660.3261825654228,660.3263415956549,-184.60335957612375,-184.60335957612375,-184.60335957612375,80.1596997021693,80.1596997021693,80.1596997021693,-264.76305927829304,-264.76305927829304,-264.76305927829304,0.0,0.0,0.0,475.7229820195311
14,2021-01-15,660.5529965901486,237.98252603710984,652.9913262496757,660.5404867352264,660.5529965901486,-214.8465180920604,-214.8465180920604,-214.8465180920604,44.593132968977145,44.593132968977145,44.593132968977145,-259.4396510610375,-259.4396510610375,-259.4396510610375,0.0,0.0,0.0,445.70647849808825
15,2021-01-16,660.7796515846424,43.83433030911258,449.45852203606273,660.7496439203195,660.7846339553117,-423.6091452649587,-423.6091452649587,-423.6091452649587,-168.78235501450382,-168.78235501450382,-168.78235501450382,-254.8267902504549,-254.8267902504549,-254.8267902504549,0.0,0.0,0.0,237.17050631968362
16,2021-01-17,661.0063065791362,-30.599763757443256,378.59744707792294,660.954781347448,661.0234180200918,-491.41082427385675,-491.41082427385675,-491.41082427385675,-240.4274290504201,-240.4274290504201,-240.4274290504201,-250.9833952234367,-250.9833952234367,-250.9833952234367,0.0,0.0,0.0,169.59548230527946
17,2021-01-18,661.2329615736301,282.48223165477225,687.454615695334,661.1543004082079,661.2574127462805,-167.81714458894726,-167.81714458894726,-167.81714458894726,80.12822077058986,80.12822077058986,80.12822077058986,-247.94536535953716,-247.94536535953716,-247.94536535953716,0.0,0.0,0.0,493.4158169846828
18,2021-01-19,661.4596165681239,345.03783527996916,735.1575865744161,661.354597474555,661.4992102698932,-126.07907501381978,-126.07907501381978,-126.07907501381978,119.64608799880436,119.64608799880436,119.64608799880436,-245.72516301262414,-245.72516301262414,-245.72516301262414,0.0,0.0,0.0,535.3805415543042
19,2021-01-20,661.6862715626177,294.59861127962614,693.5374381894511,661.561387404475,661.738821571011,-159.62936694202727,-159.62936694202727,-159.62936694202727,84.6826426232298,84.6826426232298,84.6826426232298,-244.31200956525703,-244.31200956525703,-244.31200956525703,0.0,0.0,0.0,502.0569046205904
20,2021-01-21,661.9129265571115,300.0961493342731,706.0585940309965,661.7678779242239,661.9828089963188,-163.51298662592134,-163.51298662592134,-163.51298662592134,80.15969970226054,80.15969970226054,80.15969970226054,-243.6726863281819,-243.6726863281819,-243.6726863281819,0.0,0.0,0.0,498.39993993119015
21,2021-01-22,662.1395815516054,253.83745281478386,658.250191778082,661.9756965217517,662.2205012194936,-199.15978207347283,-199.15978207347283,-199.15978207347283,44.59313296949637,44.59313296949637,44.59313296949637,-243.75291504296916,-243.75291504296916,-243.75291504296916,0.0,0.0,0.0,462.9797994781326
22,2021-01-23,662.3662365460991,42.80917926003056,472.7185448914262,662.1846678238521,662.4698589104769,-413.2616324490695,-413.2616324490695,-413.2616324490695,-168.78235501442967,-168.78235501442967,-168.78235501442967,-244.47927743463987,-244.47927743463987,-244.47927743463987,0.0,0.0,0.0,249.1046040970296
23,2021-01-24,662.5928915405931,-11.946934890652358,378.8818882036724,662.395122062105,662.7115782488881,-486.18904810496497,-486.18904810496497,-486.18904810496497,-240.4274290502049,-240.4274290502049,-240.4274290502049,-245.76161905476002,-245.76161905476002,-245.76161905476002,0.0,0.0,0.0,176.40384343562812
24,2021-01-25,662.8195465350868,280.67420280418423,707.2367018050361,662.5994837466144,662.9563948177909,-167.36764916515574,-167.36764916515574,-167.36764916515574,80.12822077077647,80.12822077077647,80.12822077077647,-247.49586993593218,-247.49586993593218,-247.49586993593218,0.0,0.0,0.0,495.4518973699311
25,2021-01-26,663.0462015295807,325.09233067332303,728.6522205956694,662.8066572964639,663.1978453909146,-129.92111568926768,-129.92111568926768,-129.92111568926768,119.64608799870244,119.64608799870244,119.64608799870244,-249.5672036879701,-249.5672036879701,-249.5672036879701,0.0,0.0,0.0,533.125085840313
26,2021-01-27,663.2728565240745,290.8099387567554,710.9651072623491,662.9987314037699,663.4413322877764,-167.17080527339826,-167.17080527339826,-167.17080527339826,84.68264262352291,84.68264262352291,84.68264262352291,-251.85344789692118,-251.85344789692118,-251.85344789692118,0.0,0.0,0.0,496.10205125067625
27,2021-01-28,663.4995115185683,287.7686288469433,693.9680118849238,663.1955722335167,663.6851789279052,-174.0689525748487,-174.0689525748487,-174.0689525748487,80.15969970235182,80.15969970235182,80.15969970235182,-254.22865227720052,-254.22865227720052,-254.22865227720052,0.0,0.0,0.0,489.4305589437196
28,2021-01-29,663.7261665130621,261.7369765826715,669.2753542961384,663.4115706132211,663.9538701578343,-211.97358417441095,-211.97358417441095,-211.97358417441095,44.59313296954272,44.59313296954272,44.59313296954272,-256.56671714395367,-256.56671714395367,-256.56671714395367,0.0,0.0,0.0,451.7525823386512
29,2021-01-30,663.952821507556,31.648750455363917,451.02247172377906,663.6215672189339,664.2144497000635,-427.52733853765403,-427.52733853765403,-427.52733853765403,-168.78235501472784,-168.78235501472784,-168.78235501472784,-258.74498352292613,-258.74498352292613,-258.74498352292613,0.0,0.0,0.0,236.42548296990196
30,2021-01-31,664.1794765020497,-28.875699921105234,363.1228855203435,663.8298482262253,664.476386795684,-501.07511667870176,-501.07511667870176,-501.07511667870176,-240.4274290501015,-240.4274290501015,-240.4274290501015,-260.6476876286002,-260.6476876286002,-260.6476876286002,0.0,0.0,0.0,163.10435982334798
31,2021-02-01,664.4061314965437,280.86232528812286,679.9784587266071,664.0264296184662,664.7236925487424,-182.0409657070224,-182.0409657070224,-182.0409657070224,80.12822077096311,80.12822077096311,80.12822077096311,-262.16918647798553,-262.16918647798553,-262.16918647798553,0.0,0.0,0.0,482.3651657895213
32,2021-02-02,664.6327864910375,309.73152764597364,704.9449449780299,664.2216503654786,664.9739402592677,-143.5707799577526,-143.5707799577526,-143.5707799577526,119.64608799888694,119.64608799888694,119.64608799888694,-263.21686795663953,-263.21686795663953,-263.21686795663953,0.0,0.0,0.0,521.0620065332848
33,2021-02-03,664.8594414855313,288.77042242890496,673.8694424139261,664.4090429153478,665.2377517274916,-179.0310249089607,-179.0310249089607,-179.0310249089607,84.68264262328111,84.68264262328111,84.68264262328111,-263.71366753224174,-263.71366753224174,-263.71366753224174,0.0,0.0,0.0,485.8284165765706
34,2021-02-04,665.0860964800252,283.1156048839986,671.9981768830903,664.6056948672968,665.5025072228971,-183.44042507786975,-183.44042507786975,-183.44042507786975,80.15969970222602,80.15969970222602,80.15969970222602,-263.60012478009577,-263.60012478009577,-263.60012478009577,0.0,0.0,0.0,481.6456714021554
35,2021-02-05,665.3127514745189,239.17399481546008,653.296025508001,664.8055890794752,665.7621655065752,-218.24279267098433,-218.24279267098433,-218.24279267098433,44.593132969141486,44.593132969141486,44.593132969141486,-262.8359256401258,-262.8359256401258,-262.8359256401258,0.0,0.0,0.0,447.0699588035346
36,2021-02-06,665.5394064690128,32.62071093863298,440.3369749617772,664.9893623506147,666.0270518518082,-430.1832455352117,-430.1832455352117,-430.1832455352117,-168.78235501417572,-168.78235501417572,-168.78235501417572,-261.40089052103593,-261.40089052103593,-261.40089052103593,0.0,0.0,0.0,235.35616093380105
37,2021-02-07,665.7660614635066,-32.42633125829079,372.3384985652407,665.191439904923,666.2891763559168,-499.7228126648224,-499.7228126648224,-499.7228126648224,-240.4274290507078,-240.4274290507078,-240.4274290507078,-259.29538361411454,-259.29538361411454,-259.29538361411454,0.0,0.0,0.0,166.0432487986842
38,2021-02-08,665.9927164580005,296.1821557634244,692.792973582842,665.3841723907931,666.5439086990393,-176.4119138927138,-176.4119138927138,-176.4119138927138,80.12822077114971,80.12822077114971,80.12822077114971,-256.5401346638635,-256.5401346638635,-256.5401346638635,0.0,0.0,0.0,489.58080256528666
39,2021-02-09,666.2193714524943,317.53957141322024,739.3600472989176,665.5707112394023,666.8131815740434,-133.5293925295915,-133.5293925295915,-133.5293925295915,119.64608799886952,119.64608799886952,119.64608799886952,-253.175480528461,-253.175480528461,-253.175480528461,0.0,0.0,0.0,532.6899789229028
40,2021-02-10,666.4460264469881,291.03815049581266,710.9458447153162,665.7586865703986,667.0641602207979,-164.57740709356756,-164.57740709356756,-164.57740709356756,84.682642623374,84.682642623374,84.682642623374,-249.26004971694155,-249.26004971694155,-249.26004971694155,0.0,0.0,0.0,501.8686193534205
41,2021-02-11,666.6726814414819,302.370099074476,696.2242647700135,665.9572052823698,667.3265536721301,-164.7092285731592,-164.7092285731592,-164.7092285731592,80.15969970253431,80.15969970253431,80.15969970253431,-244.86892827569355,-244.86892827569355,-244.86892827569355,0.0,0.0,0.0,501.96345286832275
42,2021-02-12,666.8993364359758,275.21029807753905,691.5373871652075,666.1306752897177,667.5810183779607,-195.49822653711385,-195.49822653711385,-195.49822653711385,44.59313296918781,44.59313296918781,44.59313296918781,-240.09135950630167,-240.09135950630167,-240.09135950630167,0.0,0.0,0.0,471.40110989886193
43,2021-02-13,667.1259914304696,50.020259059872465,464.0718561178963,666.3227488958897,667.8355815798928,-403.8103976591017,-403.8103976591017,-403.8103976591017,-168.78235501428776,-168.78235501428776,-168.78235501428776,-235.02804264481395,-235.02804264481395,-235.02804264481395,0.0,0.0,0.0,263.31559377136796
44,2021-02-14,667.3526464249634,1.9639622189594674,400.8291674159224,666.517522925655,668.097504404093,-470.2155355283094,-470.2155355283094,-470.2155355283094,-240.42742905060436,-240.42742905060436,-240.42742905060436,-229.78810647770504,-229.78810647770504,-229.78810647770504,0.0,0.0,0.0,197.137110896654
45,2021-02-15,667.5793014194574,306.53905699868386,731.7385896057266,666.7039912654369,668.3670027112771,-144.3576218490474,-144.3576218490474,-144.3576218490474,80.12822077132121,80.12822077132121,80.12822077132121,-224.4858426203687,-224.4858426203687,-224.4858426203687,0.0,0.0,0.0,523.22167957041
