,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,591.6272469244627,164.3684080304607,499.2954863816183,591.6272469244627,591.6272469244627,-253.24353462316216,-253.24353462316216,-253.24353462316216,28.255366122025833,28.255366122025833,28.255366122025833,-281.49890074518805,-281.49890074518805,-281.49890074518805,0.0,0.0,0.0,338.38371230130053
1,2021-01-02,591.8464146751378,24.083150326669468,344.8125907962852,591.8464146751378,591.8464146751378,-404.9547692215264,-404.9547692215264,-404.9547692215264,-126.26003036558612,-126.26003036558612,-126.26003036558612,-278.6947388559404,-278.6947388559404,-278.6947388559404,0.0,0.0,0.0,186.89164545361137
2,2021-01-03,592.0655824258127,-4.090336080305254,337.8864349599867,592.0655824258127,592.0655824258127,-426.3731793492768,-426.3731793492768,-426.3731793492768,-151.33809458411335,-151.33809458411335,-151.33809458411335,-275.03508476516356,-275.03508476516356,-275.03508476516356,0.0,0.0,0.0,165.69240307653592
3,2021-01-04,592.2847501764878,215.66959944413924,519.3930011721342,592.2847501764878,592.2847501764878,-221.21305578386463,-221.21305578386463,-221.21305578386463,49.404117217123925,49.404117217123925,49.404117217123925,-270.61717300098854,-270.61717300098854,-270.61717300098854,0.0,0.0,0.0,371.07169439262316
4,2021-01-05,592.5039179271629,249.59176284972418,580.6119302843603,592.5039179271629,592.5039179271629,-184.14735358328343,-184.14735358328343,-184.14735358328343,81.40561355333834,81.40561355333834,81.40561355333834,-265.55296713662176,-265.55296713662176,-265.55296713662176,0.0,0.0,0.0,408.3565643438794
5,2021-01-06,592.7230856778378,241.82483863717906,559.5278376786719,592.7230856778378,592.7230856778378,-197.86846343974403,-197.86846343974403,-197.86846343974403,62.09798401702715,62.09798401702715,62.09798401702715,-259.96644745677116,-259.96644745677116,-259.96644745677116,0.0,0.0,0.0,394.85462223809384
6,2021-01-07,592.9422534285129,237.2470763901626,558.7209063213088,592.9422534285129,592.9422534285129,-197.55554438837586,-197.55554438837586,-197.55554438837586,56.4350440406861,56.4350440406861,56.4350440406861,-253.99058842906197,-253.99058842906197,-253.99058842906197,0.0,0.0,0.0,395.386709040137
7,2021-01-08,593.1614211791879,206.2225277262414,548.5023314623656,593.1614211791879,593.1614211791879,-219.50873810774172,-219.50873810774172,-219.50873810774172,28.25536612190746,28.25536612190746,28.25536612190746,-247.76410422964915,-247.76410422964915,-247.76410422964915,0.0,0.0,0.0,373.6526830714462
8,2021-01-09,593.3805889298629,71.54362498747581,388.5876402199887,593.3805889298629,593.3805889298629,-367.68807752231464,-367.68807752231464,-367.68807752231464,-126.26003036565758,-126.26003036565758,-126.26003036565758,-241.42804715665707,-241.42804715665707,-241.42804715665707,0.0,0.0,0.0,225.6925114075483
9,2021-01-10,593.5997566805379,43.518096421443076,374.49422897655893,593.5997566805379,593.5997566805379,-386.4604426439626,-386.4604426439626,-386.4604426439626,-151.33809458445646,-151.33809458445646,-151.33809458445646,-235.12234805950615,-235.12234805950615,-235.12234805950615,0.0,0.0,0.0,207.13931403657529
