,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,5212.484969129889,1949.7692011253064,4202.362156010926,5212.484969129889,5212.484969129889,-2203.9576373622817,-2203.9576373622817,-2203.9576373622817,553.4067637113012,553.4067637113012,553.4067637113012,-2757.3644010735825,-2757.3644010735825,-2757.3644010735825,0.0,0.0,0.0,3008.527331767607
1,2021-01-02,5212.7810449502895,499.8175876003757,2742.736520395566,5212.7810449502895,5212.7810449502895,-3560.236344146885,-3560.236344146885,-3560.236344146885,-851.8683177062452,-851.8683177062452,-851.8683177062452,-2708.3680264406394,-2708.3680264406394,-2708.3680264406394,0.0,0.0,0.0,1652.5447008034043
2,2021-01-03,5213.077120770691,-347.23277358346155,1839.0507717312764,5213.077120770691,5213.077120770691,-4422.587451660462,-4422.587451660462,-4422.587451660462,-1774.4183862031068,-1774.4183862031068,-1774.4183862031068,-2648.1690654573554,-2648.1690654573554,-2648.1690654573554,0.0,0.0,0.0,790.4896691102294
3,2021-01-04,5213.373196591092,1753.5480645584773,3982.3179513616697,5213.373196591092,5213.373196591092,-2325.5528506697988,-2325.5528506697988,-2325.5528506697988,252.58515036013625,252.58515036013625,252.58515036013625,-2578.1380010299354,-2578.1380010299354,-2578.1380010299354,0.0,0.0,0.0,2887.820345921293
4,2021-01-05,5213.669272411494,2442.4368312577985,4700.1685394983,5213.669272411494,5213.669272411494,-1644.0967606664983,-1644.0967606664983,-1644.0967606664983,855.7169273225526,855.7169273225526,855.7169273225526,-2499.813687989051,-2499.813687989051,-2499.813687989051,0.0,0.0,0.0,3569.5725117449956
5,2021-01-06,5213.9653482318945,2140.474594030105,4414.550363677634,5213.9653482318945,5213.9653482318945,-1921.2693442938937,-1921.2693442938937,-1921.2693442938937,493.5991993552503,493.5991993552503,493.5991993552503,-2414.868543649144,-2414.868543649144,-2414.868543649144,0.0,0.0,0.0,3292.696003938001
6,2021-01-07,5214.261424052295,2185.5076631348184,4538.677944122497,5214.261424052295,5214.261424052295,-1854.092127493266,-1854.092127493266,-1854.092127493266,470.97866316422716,470.97866316422716,470.97866316422716,-2325.0707906574935,-2325.0707906574935,-2325.0707906574935,0.0,0.0,0.0,3360.169296559029
7,2021-01-08,5214.557499872697,2455.757514499458,4705.387023424785,5214.557499872697,5214.557499872697,-1678.8379068161748,-1678.8379068161748,-1678.8379068161748,553.4067637104127,553.4067637104127,553.4067637104127,-2232.244670526588,-2232.244670526588,-2232.244670526588,0.0,0.0,0.0,3535.719593056522
8,2021-01-09,5214.853575693098,1086.7631675071852,3327.787747261363,5214.853575693098,5214.853575693098,-2990.0979134504823,-2990.0979134504823,-2990.0979134504823,-851.868317707297,-851.868317707297,-851.868317707297,-2138.229595743185,-2138.229595743185,-2138.229595743185,0.0,0.0,0.0,2224.7556622426155
9,2021-01-10,5215.1496515134995,308.5406068923417,2567.296020858121,5215.1496515134995,5215.1496515134995,-3819.2576194352378,-3819.2576194352378,-3819.2576194352378,-1774.4183862052537,-1774.4183862052537,-1774.4183862052537,-2044.8392332299838,-2044.8392332299838,-2044.8392332299838,0.0,0.0,0.0,1395.8920320782618
10,2021-01-11,5215.4457273339,2467.033035804491,4646.660051433868,5215.4457273339,5215.4457273339,-1701.2363611961232,-1701.2363611961232,-1701.2363611961232,252.58515035381822,252.58515035381822,252.58515035381822,-1953.8215115499413,-1953.8215115499413,-1953.8215115499413,0.0,0.0,0.0,3514.209366137777
11,2021-01-12,5215.741803154301,3036.4169525205734,5282.109585222632,5215.741803154301,5215.741803154301,-1011.1035912810479,-1011.1035912810479,-1011.1035912810479,855.7169273219714,855.7169273219714,855.7169273219714,-1866.8205186030198,-1866.8205186030198,-1866.8205186030198,0.0,0.0,0.0,4204.638211873254
12,2021-01-13,5216.037878974703,2812.5848713294317,4967.982109439507,5216.037878974703,5216.037878974703,-1291.7420069914774,-1291.7420069914774,-1291.7420069914774,493.59919935565983,493.59919935565983,493.59919935565983,-1785.3412063471371,-1785.3412063471371,-1785.3412063471371,0.0,0.0,0.0,3924.2958719832254
13,2021-01-14,5216.333954795105,2836.7896582604067,5069.405390896581,5216.333954795105,5216.333954795105,-1239.739082450576,-1239.739082450576,-1239.739082450576,470.9786631649467,470.9786631649467,470.9786631649467,-1710.7177456155225,-1710.7177456155225,-1710.7177456155225,0.0,0.0,0.0,3976.5948723445285
14,2021-01-15,5216.630030615506,3064.977990339456,5227.443299171095,5216.630030615506,5216.6341141209905,-1090.6795156047142,-1090.6795156047142,-1090.6795156047142,553.4067637095241,553.4067637095241,553.4067637095241,-1644.0862793142385,-1644.0862793142385,-1644.0862793142385,0.0,0.0,0.0,4125.9505150107925
15,2021-01-16,5216.926106435907,1656.4453752418724,3856.5709867936735,5216.926106435907,5216.951568739288,-2438.2310263834283,-2438.2310263834283,-2438.2310263834283,-851.8683177093595,-851.8683177093595,-851.8683177093595,-1586.3627086740692,-1586.3627086740692,-1586.3627086740692,0.0,0.0,0.0,2778.6950800524787
16,2021-01-17,5217.222182256309,824.6113470454383,2948.6806520845707,5217.222182256309,5217.2659574420195,-3312.6444039899593,-3312.6444039899593,-3312.6444039899593,-1774.4183862053594,-1774.4183862053594,-1774.4183862053594,-1538.2260177846006,-1538.2260177846006,-1538.2260177846006,0.0,0.0,0.0,1904.5777782663495
17,2021-01-18,5217.51825807671,2835.7594485048508,5106.274123356772,5217.51825807671,5217.5979583036915,-1247.5223493797905,-1247.5223493797905,-1247.5223493797905,252.58515035523328,252.58515035523328,252.58515035523328,-1500.1074997350238,-1500.1074997350238,-1500.1074997350238,0.0,0.0,0.0,3969.9959086969193
18,2021-01-19,5217.81433389711,3513.3900669687964,5724.53437875194,5217.81433389711,5217.914170139724,-616.4691697456619,-616.4691697456619,-616.4691697456619,855.7169273225584,855.7169273225584,855.7169273225584,-1472.1860970682203,-1472.1860970682203,-1472.1860970682203,0.0,0.0,0.0,4601.345164151448
19,2021-01-20,5218.110409717512,3106.8452397619462,5355.695794831454,5218.101207650121,5218.244439487441,-960.7907144799814,-960.7907144799814,-960.7907144799814,493.59919935503547,493.59919935503547,493.59919935503547,-1454.389913835017,-1454.389913835017,-1454.389913835017,0.0,0.0,0.0,4257.319695237531
20,2021-01-21,5218.406485537913,3164.3309184016366,5367.337578205058,5218.371648443179,5218.571490831095,-975.4251372301956,-975.4251372301956,-975.4251372301956,470.9786631656663,470.9786631656663,470.9786631656663,-1446.4038003958617,-1446.4038003958617,-1446.4038003958617,0.0,0.0,0.0,4242.981348307718
21,2021-01-22,5218.702561358315,3306.55351275496,5538.904571107357,5218.649084253873,5218.915835169214,-894.2759955892617,-894.2759955892617,-894.2759955892617,553.406763711936,553.406763711936,553.406763711936,-1447.6827593011976,-1447.6827593011976,-1447.6827593011976,0.0,0.0,0.0,4324.426565769053
