,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,4487.511932927496,1325.6037256839447,3387.962641490564,4487.511932927496,4487.511932927496,-2125.574932041593,-2125.574932041593,-2125.574932041593,175.19362211926196,175.19362211926196,175.19362211926196,-2300.768554160855,-2300.768554160855,-2300.768554160855,0.0,0.0,0.0,2361.9370008859028
1,2021-01-02,4489.229047221174,191.4145192226145,2348.2872554706055,4489.229047221174,4489.229047221174,-3237.034745168053,-3237.034745168053,-3237.034745168053,-960.4806316507404,-960.4806316507404,-960.4806316507404,-2276.554113517313,-2276.554113517313,-2276.554113517313,0.0,0.0,0.0,1252.1943020531212
2,2021-01-03,4490.946161514854,-105.09970087291961,2001.2695181129125,4490.946161514854,4490.946161514854,-3542.0266639053666,-3542.0266639053666,-3542.0266639053666,-1299.6549143281145,-1299.6549143281145,-1299.6549143281145,-2242.3717495772516,-2242.3717495772516,-2242.3717495772516,0.0,0.0,0.0,948.9194976094873
3,2021-01-04,4492.663275808533,1734.80332451262,3737.7048411320393,4492.663275808533,4492.663275808533,-1834.474087172885,-1834.474087172885,-1834.474087172885,364.7251754669407,364.7251754669407,364.7251754669407,-2199.1992626398255,-2199.1992626398255,-2199.1992626398255,0.0,0.0,0.0,2658.1891886356484
4,2021-01-05,4494.380390102212,1890.502025365932,3987.4079955806537,4494.380390102212,4494.380390102212,-1511.577022566772,-1511.577022566772,-1511.577022566772,636.6037521822582,636.6037521822582,636.6037521822582,-2148.18077474903,-2148.18077474903,-2148.18077474903,0.0,0.0,0.0,2982.80336753544
5,2021-01-06,4496.0975043958915,1954.5750415000011,4003.921123989203,4496.0975043958915,4496.0975043958915,-1516.5908039637484,-1516.5908039637484,-1516.5908039637484,574.0072716482173,574.0072716482173,574.0072716482173,-2090.5980756119657,-2090.5980756119657,-2090.5980756119657,0.0,0.0,0.0,2979.506700432143
6,2021-01-07,4497.81461868957,1836.9160155238544,4004.946732524648,4497.81461868957,4497.81461868957,-1518.2330484992049,-1518.2330484992049,-1518.2330484992049,509.60572456596157,509.60572456596157,509.60572456596157,-2027.8387730651666,-2027.8387730651666,-2027.8387730651666,0.0,0.0,0.0,2979.5815701903653
7,2021-01-08,4499.531732983249,1606.173329893633,3701.3649129916,4499.531732983249,4499.531732983249,-1786.1684597989454,-1786.1684597989454,-1786.1684597989454,175.1936221182581,175.1936221182581,175.1936221182581,-1961.3620819172038,-1961.3620819172038,-1961.3620819172038,0.0,0.0,0.0,2713.3632731843036
8,2021-01-09,4501.248847276928,606.0981636312621,2707.33789426806,4501.248847276928,4501.248847276928,-2853.143775344884,-2853.143775344884,-2853.143775344884,-960.4806316512967,-960.4806316512967,-960.4806316512967,-1892.6631436935875,-1892.6631436935875,-1892.6631436935875,0.0,0.0,0.0,1648.1050719320442
9,2021-01-10,4502.965961570607,312.583288772827,2419.076956532733,4502.965961570607,4502.965961570607,-3122.8917188494947,-3122.8917188494947,-3122.8917188494947,-1299.6549143307295,-1299.6549143307295,-1299.6549143307295,-1823.2368045187654,-1823.2368045187654,-1823.2368045187654,0.0,0.0,0.0,1380.0742427211121
10,2021-01-11,4504.683075864286,2046.6914095211755,4245.1934574960005,4504.683075864286,4504.683075864286,-1389.8166127372785,-1389.8166127372785,-1389.8166127372785,364.72517546263856,364.72517546263856,364.72517546263856,-1754.5417881999174,-1754.5417881999174,-1754.5417881999174,0.0,0.0,0.0,3114.8664631270076
11,2021-01-12,4506.400190157966,2391.8848484275154,4496.464484062833,4506.400190157966,4506.400190157966,-1051.3624341624081,-1051.3624341624081,-1051.3624341624081,636.6037521818128,636.6037521818128,636.6037521818128,-1687.966186344221,-1687.966186344221,-1687.966186344221,0.0,0.0,0.0,3455.0377559955577
12,2021-01-13,4508.1173044516445,2426.9434638016132,4515.054986448859,4508.1173044516445,4508.1173044516445,-1050.7878758713598,-1050.7878758713598,-1050.7878758713598,574.0072716487559,574.0072716487559,574.0072716487559,-1624.795147520116,-1624.795147520116,-1624.795147520116,0.0,0.0,0.0,3457.329428580285
13,2021-01-14,4509.834418745324,2430.736437567692,4450.128667584649,4509.834418745324,4509.834418745324,-1056.5758596714563,-1056.5758596714563,-1056.5758596714563,509.6057245663375,509.6057245663375,509.6057245663375,-1566.181584237794,-1566.181584237794,-1566.181584237794,0.0,0.0,0.0,3453.2585590738677
14,2021-01-15,4511.5515330390035,2070.7290801273048,4195.263653613661,4511.5515330390035,4511.5515330390035,-1337.9270095334996,-1337.9270095334996,-1337.9270095334996,175.1936221172542,175.1936221172542,175.1936221172542,-1513.1206316507541,-1513.1206316507541,-1513.1206316507541,0.0,0.0,0.0,3173.624523505504
15,2021-01-16,4513.268647332682,958.7106481483065,3191.6432233990377,4513.268647332682,4513.268647332682,-2426.9091194127504,-2426.9091194127504,-2426.9091194127504,-960.4806316528209,-960.4806316528209,-960.4806316528209,-1466.4284877599293,-1466.4284877599293,-1466.4284877599293,0.0,0.0,0.0,2086.3595279199317
16,2021-01-17,4514.985761626362,753.7277198008449,2855.4797308643915,4514.985761626362,4514.985761626362,-2726.381058767255,-2726.381058767255,-2726.381058767255,-1299.654914330758,-1299.654914330758,-1299.654914330758,-1426.7261444364974,-1426.7261444364974,-1426.7261444364974,0.0,0.0,0.0,1788.6047028591065
17,2021-01-18,4516.702875920041,2431.393857632194,4445.281675821418,4516.69259320077,4516.702875920041,-1029.703209623306,-1029.703209623306,-1029.703209623306,364.72517546354266,364.72517546354266,364.72517546354266,-1394.4283850868492,-1394.4283850868492,-1394.4283850868492,0.0,0.0,0.0,3486.999666296735
18,2021-01-19,4518.41999021372,2678.4873079816184,4772.636439359783,4518.3801608046615,4518.41999021372,-733.1345297853826,-733.1345297853826,-733.1345297853826,636.6037521822678,636.6037521822678,636.6037521822678,-1369.7382819676504,-1369.7382819676504,-1369.7382819676504,0.0,0.0,0.0,3785.285460428337
19,2021-01-20,4520.137104507399,2604.215456893016,4791.996062876232,4520.048069772548,4520.137104507399,-778.6400062677073,-778.6400062677073,-778.6400062677073,574.007271648414,574.007271648414,574.007271648414,-1352.6472779161213,-1352.6472779161213,-1352.6472779161213,0.0,0.0,0.0,3741.4970982396917
20,2021-01-21,4521.854218801079,2625.954444964925,4735.675548016711,4521.723349189251,4521.854218801079,-833.3350630997586,-833.3350630997586,-833.3350630997586,509.60572456671326,509.60572456671326,509.60572456671326,-1342.940787666472,-1342.940787666472,-1342.940787666472,0.0,0.0,0.0,3688.5191557013204
21,2021-01-22,4523.571333094757,2396.9150840380485,4387.549280849103,4523.384980020766,4523.571333094757,-1165.0154849138528,-1165.0154849138528,-1165.0154849138528,175.19362212031407,175.19362212031407,175.19362212031407,-1340.209107034167,-1340.209107034167,-1340.209107034167,0.0,0.0,0.0,3358.555848180905
22,2021-01-23,4525.288447388436,1207.6863715429358,3267.005173174133,4525.069827358263,4525.288447388436,-2304.343909710317,-2304.343909710317,-2304.343909710317,-960.4806316524091,-960.4806316524091,-960.4806316524091,-1343.8632780579073,-1343.8632780579073,-1343.8632780579073,0.0,0.0,0.0,2220.944537678119
23,2021-01-24,4527.005561682115,771.4838433916042,2899.283234563277,4526.770908128865,4527.0227476296905,-2652.810342796878,-2652.810342796878,-2652.810342796878,-1299.654914329634,-1299.654914329634,-1299.654914329634,-1353.1554284672438,-1353.1554284672438,-1353.1554284672438,0.0,0.0,0.0,1874.1952188852365
24,2021-01-25,4528.722675975794,2507.210614745088,4571.670923016013,4528.415531674267,4528.786769176903,-1002.4778126085665,-1002.4778126085665,-1002.4778126085665,364.7251754645165,364.7251754645165,364.7251754645165,-1367.2029880730827,-1367.2029880730827,-1367.2029880730827,0.0,0.0,0.0,3526.2448633672275
25,2021-01-26,4530.439790269474,2723.155993384795,4849.973405558058,4530.091971259205,4530.54291880787,-748.4123337400785,-748.4123337400785,-748.4123337400785,636.6037521818224,636.6037521818224,636.6037521818224,-1385.0160859219009,-1385.0160859219009,-1385.0160859219009,0.0,0.0,0.0,3782.0274565293953
