,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,5669.19604516423,1650.2316594787976,4157.186929606543,5458.046642110777,5896.319231931554,-2846.818817809344,-2846.818817809344,-2846.818817809344,411.28040799360326,411.28040799360326,411.28040799360326,-3258.0992258029473,-3258.0992258029473,-3258.0992258029473,0.0,0.0,0.0,2822.3772273548857
1,2021-01-02,5669.782491827584,247.45619626001874,2853.8971003057745,5458.122241793663,5897.6267647765135,-4157.604176507252,-4157.604176507252,-4157.604176507252,-908.9828960812114,-908.9828960812114,-908.9828960812114,-3248.6212804260413,-3248.6212804260413,-3248.6212804260413,0.0,0.0,0.0,1512.1783153203314
2,2021-01-03,5670.368938490938,-288.62509083000515,2590.6379143760837,5458.197841476551,5898.622067494389,-4600.6510637447345,-4600.6510637447345,-4600.6510637447345,-1373.7825227255776,-1373.7825227255776,-1373.7825227255776,-3226.8685410191574,-3226.8685410191574,-3226.8685410191574,0.0,0.0,0.0,1069.717874746203
3,2021-01-04,5670.955385154293,1254.0732871796017,3840.5687770700706,5458.271228564256,5899.614541855072,-3076.264725308341,-3076.264725308341,-3076.264725308341,117.3933315504421,117.3933315504421,117.3933315504421,-3193.658056858784,-3193.658056858784,-3193.658056858784,0.0,0.0,0.0,2594.6906598459523
4,2021-01-05,5671.541831817647,1714.6509478096286,4336.353268828889,5458.057087274483,5901.660330597909,-2588.1816165616397,-2588.1816165616397,-2588.1816165616397,561.8393200151926,561.8393200151926,561.8393200151926,-3150.020936576832,-3150.020936576832,-3150.020936576832,0.0,0.0,0.0,3083.3602152560075
5,2021-01-06,5672.128278481001,1781.5345070886297,4423.763881950872,5457.854947368361,5903.0861377165875,-2513.804003227578,-2513.804003227578,-2513.804003227578,583.3719278498265,583.3719278498265,583.3719278498265,-3097.175931077404,-3097.175931077404,-3097.175931077404,0.0,0.0,0.0,3158.324275253423
6,2021-01-07,5672.714725144356,1977.429462112288,4456.458442106671,5457.652807462239,5904.409232867136,-2427.6180161533293,-2427.6180161533293,-2427.6180161533293,608.880431401229,608.880431401229,608.880431401229,-3036.498447554559,-3036.498447554559,-3036.498447554559,0.0,0.0,0.0,3245.0967089910264
7,2021-01-08,5673.30117180771,1802.0604806182146,4367.974703491468,5457.944915539344,5905.732328017686,-2558.20541025546,-2558.20541025546,-2558.20541025546,411.2804079926685,411.2804079926685,411.2804079926685,-2969.485818248128,-2969.485818248128,-2969.485818248128,0.0,0.0,0.0,3115.0957615522498
8,2021-01-09,5673.887618471064,649.7736306766517,3145.0369657524266,5458.755050240123,5907.0554231682345,-3806.7026432594625,-3806.7026432594625,-3806.7026432594625,-908.9828960819425,-908.9828960819425,-908.9828960819425,-2897.7197471775194,-2897.7197471775194,-2897.7197471775194,0.0,0.0,0.0,1867.1849752116018
9,2021-01-10,5674.474065134418,170.45790794693224,2727.308120659715,5458.758477034696,5908.051206873566,-4196.609455250029,-4196.609455250029,-4196.609455250029,-1373.7825227275146,-1373.7825227275146,-1373.7825227275146,-2822.8269325225147,-2822.8269325225147,-2822.8269325225147,0.0,0.0,0.0,1477.8646098843892
10,2021-01-11,5675.060511797772,1648.7427621649354,4353.72047457508,5458.542512626579,5908.9150906974455,-2629.045577952315,-2629.045577952315,-2629.045577952315,117.39333154606149,117.39333154606149,117.39333154606149,-2746.438909498376,-2746.438909498376,-2746.438909498376,0.0,0.0,0.0,3046.014933845457
11,2021-01-12,5675.646958461128,2333.0135539853836,4943.123379577106,5458.326548218462,5909.778974521325,-2108.3128571819066,-2108.3128571819066,-2108.3128571819066,561.8393200150938,561.8393200150938,561.8393200150938,-2670.1521771970006,-2670.1521771970006,-2670.1521771970006,0.0,0.0,0.0,3567.334101279221
12,2021-01-13,5676.233405124482,2424.161133489043,5035.512211880333,5458.110583810346,5910.6428583452025,-2012.1177345569627,-2012.1177345569627,-2012.1177345569627,583.3719278501491,583.3719278501491,583.3719278501491,-2595.489662407112,-2595.489662407112,-2595.489662407112,0.0,0.0,0.0,3664.115670567519
13,2021-01-14,5676.819851787836,2492.970179991911,5153.5007258439055,5457.894619402228,5911.506742169083,-1914.9841027862608,-1914.9841027862608,-1914.9841027862608,608.8804314016076,608.8804314016076,608.8804314016076,-2523.8645341878682,-2523.8645341878682,-2523.8645341878682,0.0,0.0,0.0,3761.8357490015756
14,2021-01-15,5677.40629845119,2401.3996754586174,4969.309353162324,5457.678654994112,5912.370625992962,-2045.2669080398357,-2045.2669080398357,-2045.2669080398357,411.2804079917336,411.2804079917336,411.2804079917336,-2456.5473160315696,-2456.5473160315696,-2456.5473160315696,0.0,0.0,0.0,3632.1393904113547
15,2021-01-16,5677.992745114544,1051.5693959989544,3620.4588215772933,5457.462690585994,5913.234509816842,-3303.620045760303,-3303.620045760303,-3303.620045760303,-908.9828960835285,-908.9828960835285,-908.9828960835285,-2394.6371496767747,-2394.6371496767747,-2394.6371496767747,0.0,0.0,0.0,2374.372699354241
16,2021-01-17,5678.579191777899,629.1010790031779,3331.346704016357,5457.246726177877,5914.54632524336,-3712.8204713511636,-3712.8204713511636,-3712.8204713511636,-1373.7825227277497,-1373.7825227277497,-1373.7825227277497,-2339.037948623414,-2339.037948623414,-2339.037948623414,0.0,0.0,0.0,1965.7587204267352
17,2021-01-18,5679.165638441253,2228.6644673159585,4755.3559259152435,5457.03076176976,5916.053976800498,-2173.0467118086885,-2173.0467118086885,-2173.0467118086885,117.39333154683186,117.39333154683186,117.39333154683186,-2290.4400433555206,-2290.4400433555206,-2290.4400433555206,0.0,0.0,0.0,3506.118926632564
18,2021-01-19,5679.752085104607,2700.109809840617,5295.0973394026005,5456.814797361642,5917.561628357634,-1687.4684480043168,-1687.4684480043168,-1687.4684480043168,561.8393200152476,561.8393200152476,561.8393200152476,-2249.3077680195647,-2249.3077680195647,-2249.3077680195647,0.0,0.0,0.0,3992.2836371002904
19,2021-01-20,5680.338531767962,2777.3993741348345,5384.563472107152,5456.598832953526,5918.994716212743,-1632.501346190188,-1632.501346190188,-1632.501346190188,583.3719278499649,583.3719278499649,583.3719278499649,-2215.873274040153,-2215.873274040153,-2215.873274040153,0.0,0.0,0.0,4047.837185577774
20,2021-01-21,5680.924978431316,2814.3919133675963,5341.420979175162,5456.407336555956,5920.08721259893,-1581.2562530811263,-1581.2562530811263,-1581.2562530811263,608.8804314019862,608.8804314019862,608.8804314019862,-2190.1366844831123,-2190.1366844831123,-2190.1366844831123,0.0,0.0,0.0,4099.66872535019
