,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,5373.4992235452155,1397.2743108579123,3912.9757265319454,5119.488636704173,5634.812377028227,-2684.4928268443045,-2684.4928268443045,-2684.4928268443045,458.85378151069386,458.85378151069386,458.85378151069386,-3143.346608354998,-3143.346608354998,-3143.346608354998,0.0,0.0,0.0,2689.006396700911
1,2021-01-02,5373.973362173274,128.22056531232568,2869.3566460758816,5119.807533108607,5637.223254254179,-3925.685941717595,-3925.685941717595,-3925.685941717595,-790.572385300596,-790.572385300596,-790.572385300596,-3135.1135564169986,-3135.1135564169986,-3135.1135564169986,0.0,0.0,0.0,1448.2874204556788
2,2021-01-03,5374.4475008013305,-418.98791442507644,2148.1443644365872,5119.823838583744,5639.634131480129,-4493.759019689233,-4493.759019689233,-4493.759019689233,-1378.3561265414426,-1378.3561265414426,-1378.3561265414426,-3115.4028931477915,-3115.4028931477915,-3115.4028931477915,0.0,0.0,0.0,880.6884811120972
3,2021-01-04,5374.921639429389,1217.3433888705615,3674.158726552883,5119.574772097631,5641.753510331333,-2940.138258190064,-2940.138258190064,-2940.138258190064,144.86342819981104,144.86342819981104,144.86342819981104,-3085.001686389875,-3085.001686389875,-3085.001686389875,0.0,0.0,0.0,2434.783381239325
4,2021-01-05,5375.3957780574465,1428.6182478677144,4084.2131742530314,5119.577213636881,5643.01875096476,-2549.6440455735847,-2549.6440455735847,-2549.6440455735847,495.25227361399754,495.25227361399754,495.25227361399754,-3044.896319187583,-3044.896319187583,-3044.896319187583,0.0,0.0,0.0,2825.751732483862
5,2021-01-06,5375.869916685505,1618.3401492835071,4085.5718028412975,5119.545284075242,5643.713130981353,-2485.8961376674197,-2485.8961376674197,-2485.8961376674197,510.35066540476015,510.35066540476015,510.35066540476015,-2996.24680307218,-2996.24680307218,-2996.24680307218,0.0,0.0,0.0,2889.973779018085
6,2021-01-07,5376.3440553135615,1735.1084289643957,4309.809083852018,5119.386156772679,5644.407510997947,-2380.748498802869,-2380.748498802869,-2380.748498802869,559.608363115895,559.608363115895,559.608363115895,-2940.356861918765,-2940.356861918765,-2940.356861918765,0.0,0.0,0.0,2995.5955565106924
7,2021-01-08,5376.81819394162,1634.6082641573119,4225.400926621893,5119.496322121641,5645.101891014539,-2419.786807918463,-2419.786807918463,-2419.786807918463,458.85378150977425,458.85378150977425,458.85378150977425,-2878.6405894282375,-2878.6405894282375,-2878.6405894282375,0.0,0.0,0.0,2957.0313860231568
8,2021-01-09,5377.292332569678,441.5218960759231,2934.902427412609,5119.375258415052,5645.794298174163,-3603.1589595844803,-3603.1589595844803,-3603.1589595844803,-790.5723853013176,-790.5723853013176,-790.5723853013176,-2812.586574283163,-2812.586574283163,-2812.586574283163,0.0,0.0,0.0,1774.133372985198
9,2021-01-10,5377.766471197736,-45.66672786360846,2556.829159699367,5118.834221009873,5646.471706283479,-4122.0765800300105,-4122.0765800300105,-4122.0765800300105,-1378.356126543138,-1378.356126543138,-1378.356126543138,-2743.720453486873,-2743.720453486873,-2743.720453486873,0.0,0.0,0.0,1255.6898911677254
10,2021-01-11,5378.240609825793,1676.6977884088253,4157.8173732805735,5118.293183604693,5647.204604989653,-2528.703466278143,-2528.703466278143,-2528.703466278143,144.8634281954855,144.8634281954855,144.8634281954855,-2673.5668944736285,-2673.5668944736285,-2673.5668944736285,0.0,0.0,0.0,2849.5371435476504
11,2021-01-12,5378.714748453851,2070.994085653201,4578.665930569974,5117.752146199515,5647.953982491157,-2108.359745562661,-2108.359745562661,-2108.359745562661,495.25227361373635,495.25227361373635,495.25227361373635,-2603.6120191763976,-2603.6120191763976,-2603.6120191763976,0.0,0.0,0.0,3270.35500289119
12,2021-01-13,5379.188887081909,2085.7957431008435,4607.086318756026,5117.211108794336,5648.912910131136,-2024.9166026034402,-2024.9166026034402,-2024.9166026034402,510.3506654052451,510.3506654052451,510.3506654052451,-2535.2672680086853,-2535.2672680086853,-2535.2672680086853,0.0,0.0,0.0,3354.2722844784694
13,2021-01-14,5379.663025709967,2171.7297900445046,4689.829260961863,5116.680493831881,5650.6348695547695,-1910.2272959928328,-1910.2272959928328,-1910.2272959928328,559.6083631164048,559.6083631164048,559.6083631164048,-2469.8356591092374,-2469.8356591092374,-2469.8356591092374,0.0,0.0,0.0,3469.435729717134
