,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,3333.3166451391526,278.5711653863576,2357.5435547742613,3333.3166451391526,3333.3166451391526,-2026.6200766700622,-2026.6200766700622,-2026.6200766700622,35.80746599688637,35.80746599688637,35.80746599688637,-2062.427542666949,-2062.427542666949,-2062.427542666949,0.0,0.0,0.0,1306.6965684690904
1,2021-01-02,3333.793961851051,-676.5161310081097,1420.0039949889765,3333.793961851051,3333.793961851051,-2942.298627970372,-2942.298627970372,-2942.298627970372,-892.0660122868954,-892.0660122868954,-892.0660122868954,-2050.2326156834765,-2050.2326156834765,-2050.2326156834765,0.0,0.0,0.0,391.495333880679
2,2021-01-03,3334.271278562949,-309.581940141144,1880.1852852410093,3334.271278562949,3334.271278562949,-2566.415261181993,-2566.415261181993,-2566.415261181993,-534.0120075461448,-534.0120075461448,-534.0120075461448,-2032.4032536358484,-2032.4032536358484,-2032.4032536358484,0.0,0.0,0.0,767.856017380956
3,2021-01-04,3334.748595274847,565.6213497277848,2682.431399899957,3334.748595274847,3334.748595274847,-1758.8302362050877,-1758.8302362050877,-1758.8302362050877,250.7102206438535,250.7102206438535,250.7102206438535,-2009.5404568489416,-2009.5404568489416,-2009.5404568489416,0.0,0.0,0.0,1575.9183590697594
4,2021-01-05,3335.2259119867454,740.3287789826657,2798.8993049332466,3335.2259119867454,3335.2259119867454,-1558.2880578938211,-1558.2880578938211,-1558.2880578938211,424.0503191211776,424.0503191211776,424.0503191211776,-1982.3383770149985,-1982.3383770149985,-1982.3383770149985,0.0,0.0,0.0,1776.9378540929242
5,2021-01-06,3335.703228698643,650.3547549184956,2836.81900259929,3335.703228698643,3335.703228698643,-1560.3335520077273,-1560.3335520077273,-1560.3335520077273,391.2332183325743,391.2332183325743,391.2332183325743,-1951.5667703403017,-1951.5667703403017,-1951.5667703403017,0.0,0.0,0.0,1775.3696766909159
6,2021-01-07,3336.180545410542,680.1127824743601,2773.009974615223,3336.180545410542,3336.180545410542,-1593.7747520785067,-1593.7747520785067,-1593.7747520785067,324.2767957417572,324.2767957417572,324.2767957417572,-1918.051547820264,-1918.051547820264,-1918.051547820264,0.0,0.0,0.0,1742.4057933320353
7,2021-01-08,3336.6578621224403,358.3424594996406,2584.7373728595235,3336.6578621224403,3336.6578621224403,-1846.846467762156,-1846.846467762156,-1846.846467762156,35.80746599626493,35.80746599626493,35.80746599626493,-1882.6539337584209,-1882.6539337584209,-1882.6539337584209,0.0,0.0,0.0,1489.8113943602843
8,2021-01-09,3337.135178834338,-454.29615671302525,1664.9025540332857,3337.135178834338,3337.135178834338,-2738.314794250667,-2738.314794250667,-2738.314794250667,-892.066012287123,-892.066012287123,-892.066012287123,-1846.248781963544,-1846.248781963544,-1846.248781963544,0.0,0.0,0.0,598.8203845836711
9,2021-01-10,3337.6124955462365,-104.61319114811228,2047.0754195793975,3337.6124955462365,3337.6124955462365,-2343.7146300922777,-2343.7146300922777,-2343.7146300922777,-534.012007548358,-534.012007548358,-534.012007548358,-1809.70262254392,-1809.70262254392,-1809.70262254392,0.0,0.0,0.0,993.8978654539587
