,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,1811.1940479124578,741.7846970114778,1591.1573989831409,1811.1940479124578,1811.1940479124578,-669.4665252437137,-669.4665252437137,-669.4665252437137,104.1531322469658,104.1531322469658,104.1531322469658,-773.6196574906795,-773.6196574906795,-773.6196574906795,0.0,0.0,0.0,1141.727522668744
1,2021-01-02,1812.43332816366,137.43330084243857,1000.4021375780057,1812.43332816366,1812.43332816366,-1263.3930979521235,-1263.3930979521235,-1263.3930979521235,-498.50433425196536,-498.50433425196536,-498.50433425196536,-764.888763700158,-764.888763700158,-764.888763700158,0.0,0.0,0.0,549.0402302115365
2,2021-01-03,1813.6726084148615,-30.059402375831795,847.6486043786683,1813.6726084148615,1813.6726084148615,-1398.806818183064,-1398.806818183064,-1398.806818183064,-645.7903236999983,-645.7903236999983,-645.7903236999983,-753.0164944830658,-753.0164944830658,-753.0164944830658,0.0,0.0,0.0,414.8657902317975
3,2021-01-04,1814.9118886660638,876.835895933731,1737.1944754991434,1814.9118886660638,1814.9118886660638,-495.08179564813963,-495.08179564813963,-495.08179564813963,243.20775357866998,243.20775357866998,243.20775357866998,-738.2895492268096,-738.2895492268096,-738.2895492268096,0.0,0.0,0.0,1319.8300930179241
4,2021-01-05,1816.1511689172657,995.4664719908757,1855.8134029796372,1816.1511689172657,1816.1511689172657,-409.11213663639074,-409.11213663639074,-409.11213663639074,311.93209568874937,311.93209568874937,311.93209568874937,-721.0442323251402,-721.0442323251402,-721.0442323251402,0.0,0.0,0.0,1407.039032280875
5,2021-01-06,1817.390449168467,936.9606175544775,1784.188465809734,1817.390449168467,1817.390449168467,-446.3878011442389,-446.3878011442389,-446.3878011442389,255.2710675077206,255.2710675077206,255.2710675077206,-701.6588686519596,-701.6588686519596,-701.6588686519596,0.0,0.0,0.0,1371.0026480242282
6,2021-01-07,1818.6297294196693,942.2487384854177,1777.2856683275704,1818.6297294196693,1818.6297294196693,-450.814652623925,-450.814652623925,-450.814652623925,229.73060893183424,229.73060893183424,229.73060893183424,-680.5452615557593,-680.5452615557593,-680.5452615557593,0.0,0.0,0.0,1367.8150767957443
7,2021-01-08,1819.8690096708708,850.2920608206904,1686.9991160274135,1819.8690096708708,1819.8690096708708,-553.9862680183782,-553.9862680183782,-553.9862680183782,104.15313224643461,104.15313224643461,104.15313224643461,-658.1394002648128,-658.1394002648128,-658.1394002648128,0.0,0.0,0.0,1265.8827416524928
8,2021-01-09,1821.1082899220723,265.530402971121,1111.5607574266712,1821.1082899220723,1821.1082899220723,-1133.3959766023154,-1133.3959766023154,-1133.3959766023154,-498.50433425223116,-498.50433425223116,-498.50433425223116,-634.8916423500843,-634.8916423500843,-634.8916423500843,0.0,0.0,0.0,687.712313319757
9,2021-01-10,1822.3475701732746,126.84539487107013,991.3916717384509,1822.3475701732746,1822.3475701732746,-1257.0469336402214,-1257.0469336402214,-1257.0469336402214,-645.7903237014206,-645.7903237014206,-645.7903237014206,-611.2566099388007,-611.2566099388007,-611.2566099388007,0.0,0.0,0.0,565.3006365330532
10,2021-01-11,1823.5868504244766,1065.003217349113,1936.7826364473874,1823.5868504244766,1823.5868504244766,-344.47529178870116,-344.47529178870116,-344.47529178870116,243.20775357652067,243.20775357652067,243.20775357652067,-587.6830453652219,-587.6830453652219,-587.6830453652219,0.0,0.0,0.0,1479.1115586357755
11,2021-01-12,1824.8261306756788,1143.284514138652,2009.6037210047411,1824.8261306756788,1824.8261306756788,-252.67177701576819,-252.67177701576819,-252.67177701576819,311.9320956884974,311.9320956884974,311.9320956884974,-564.6038727042657,-564.6038727042657,-564.6038727042657,0.0,0.0,0.0,1572.1543536599106
12,2021-01-13,1826.0654109268803,1120.3922952008375,1972.8265034119834,1826.0654109268803,1826.0654109268803,-287.1556386289462,-287.1556386289462,-287.1556386289462,255.27106750799175,255.27106750799175,255.27106750799175,-542.426706136938,-542.426706136938,-542.426706136938,0.0,0.0,0.0,1538.909772297934
13,2021-01-14,1827.3046911780816,1110.3436024540006,1945.0115997748046,1827.3046911780816,1827.3046911780816,-291.7944255590903,-291.7944255590903,-291.7944255590903,229.73060893207085,229.73060893207085,229.73060893207085,-521.5250344911611,-521.5250344911611,-521.5250344911611,0.0,0.0,0.0,1535.5102656189913
14,2021-01-15,1828.5439714292838,998.2096707153754,1872.30741774052,1828.5439714292838,1828.5439714292838,-398.07716163890774,-398.07716163890774,-398.07716163890774,104.15313224590345,104.15313224590345,104.15313224590345,-502.2302938848111,-502.2302938848111,-502.2302938848111,0.0,0.0,0.0,1430.4668097903761
15,2021-01-16,1829.7832516804854,386.1425222229333,1269.9405028158674,1829.7832516804854,1829.7832516804854,-983.3293518796143,-983.3293518796143,-983.3293518796143,-498.5043342530802,-498.5043342530802,-498.5043342530802,-484.8250176265343,-484.8250176265343,-484.8250176265343,0.0,0.0,0.0,846.4538998008711
16,2021-01-17,1831.0225319316876,279.77661226299256,1144.9007292581155,1831.0225319316876,1831.0225319316876,-1115.32754870138,-1115.32754870138,-1115.32754870138,-645.7903237015096,-645.7903237015096,-645.7903237015096,-469.53722499987043,-469.53722499987043,-469.53722499987043,0.0,0.0,0.0,715.6949832303076
17,2021-01-18,1832.2618121828891,1210.6862588024849,2050.724547973751,1832.2618121828891,1832.2618121828891,-213.3284253996454,-213.3284253996454,-213.3284253996454,243.2077535769205,243.2077535769205,243.2077535769205,-456.5361789765659,-456.5361789765659,-456.5361789765659,0.0,0.0,0.0,1618.9333867832438
18,2021-01-19,1833.501092434091,1275.855938475738,2150.178259193988,1833.501092434091,1833.501092434091,-133.99751241848853,-133.99751241848853,-133.99751241848853,311.9320956886271,311.9320956886271,311.9320956886271,-445.9296081071156,-445.9296081071156,-445.9296081071156,0.0,0.0,0.0,1699.5035800156027
19,2021-01-20,1834.7403726852933,1219.8736721203054,2067.5742106302605,1834.7345503924146,1834.7403726852933,-182.49138320582384,-182.49138320582384,-182.49138320582384,255.27106750781272,255.27106750781272,255.27106750781272,-437.76245071363655,-437.76245071363655,-437.76245071363655,0.0,0.0,0.0,1652.2489894794694
20,2021-01-21,1835.9796529364949,1197.5651516708258,2077.429824326614,1835.9486053998678,1835.9822627531853,-202.2865321028705,-202.2865321028705,-202.2865321028705,229.7306089323074,229.7306089323074,229.7306089323074,-432.0171410351778,-432.0171410351778,-432.0171410351778,0.0,0.0,0.0,1633.6931208336243
21,2021-01-22,1837.2189331876962,1087.7329742175307,1953.6484519295593,1837.1569911776216,1837.2659329600663,-324.4622858871496,-324.4622858871496,-324.4622858871496,104.1531322474597,104.1531322474597,104.1531322474597,-428.61541813460934,-428.61541813460934,-428.61541813460934,0.0,0.0,0.0,1512.7566473005465
22,2021-01-23,1838.4582134388984,502.45822945139116,1349.4878408480859,1838.3816683645512,1838.546185230122,-925.9259344331682,-925.9259344331682,-925.9259344331682,-498.50433425276225,-498.50433425276225,-498.50433425276225,-427.42160018040596,-427.42160018040596,-427.42160018040596,0.0,0.0,0.0,912.5322790057302
23,2021-01-24,1839.6974936901,343.905134609991,1195.1234907692738,1839.5701833919895,1839.8256567311837,-1074.0375538430824,-1074.0375538430824,-1074.0375538430824,-645.7903237008325,-645.7903237008325,-645.7903237008325,-428.24723014224975,-428.24723014224975,-428.24723014224975,0.0,0.0,0.0,765.6599398470175
24,2021-01-25,1840.9367739413021,1246.1375952699143,2071.569129923979,1840.7660612173813,1841.145329367051,-187.64921135169536,-187.64921135169536,-187.64921135169536,243.20775357742698,243.20775357742698,243.20775357742698,-430.8569649291224,-430.8569649291224,-430.8569649291224,0.0,0.0,0.0,1653.2875625896068
25,2021-01-26,1842.1760541925041,1287.390415208046,2114.1556534795955,1841.9558143695642,1842.4459234276753,-123.04345372860519,-123.04345372860519,-123.04345372860519,311.9320956883752,311.9320956883752,311.9320956883752,-434.97554941698036,-434.97554941698036,-434.97554941698036,0.0,0.0,0.0,1719.132600463899
26,2021-01-27,1843.4153344437057,1233.823493314202,2091.4141858041094,1843.1610460716115,1843.7502586606493,-185.02462292818163,-185.02462292818163,-185.02462292818163,255.27106750850587,255.27106750850587,255.27106750850587,-440.2956904366875,-440.2956904366875,-440.2956904366875,0.0,0.0,0.0,1658.3907115155241
27,2021-01-28,1844.6546146949079,1186.695324247082,2040.7489000665403,1844.3746322661998,1845.0713471863319,-216.7560153521086,-216.7560153521086,-216.7560153521086,229.73060893254402,229.73060893254402,229.73060893254402,-446.4866242846525,-446.4866242846525,-446.4866242846525,0.0,0.0,0.0,1627.8985993427993
28,2021-01-29,1845.8938949461094,1088.7264889643475,1908.2282100912876,1845.586604050847,1846.4384009184805,-349.0500229600143,-349.0500229600143,-349.0500229600143,104.1531322475969,104.1531322475969,104.1531322475969,-453.2031552076112,-453.2031552076112,-453.2031552076112,0.0,0.0,0.0,1496.843871986095
29,2021-01-30,1847.1331751973116,483.78295084621215,1288.9387219800942,1846.7996743409888,1847.788522222213,-958.5992662483094,-958.5992662483094,-958.5992662483094,-498.5043342536114,-498.5043342536114,-498.5043342536114,-460.09493199469796,-460.09493199469796,-460.09493199469796,0.0,0.0,0.0,888.5339089490022
30,2021-01-31,1848.372455448513,273.1413010761068,1149.2004227984635,1847.976909607391,1849.0732727742663,-1112.606049213831,-1112.606049213831,-1112.606049213831,-645.7903237005386,-645.7903237005386,-645.7903237005386,-466.81572551329253,-466.81572551329253,-466.81572551329253,0.0,0.0,0.0,735.7664062346819
31,2021-02-01,1849.611735699715,1179.4097922247688,2028.905356279221,1849.096118096983,1850.4021379951807,-229.824718256041,-229.824718256041,-229.824718256041,243.20775357793354,243.20775357793354,243.20775357793354,-473.03247183397457,-473.03247183397457,-473.03247183397457,0.0,0.0,0.0,1619.787017443674
32,2021-02-02,1850.8510159509167,1232.7300757889361,2106.9802953483313,1850.2290978357964,1851.7525803942092,-166.5017577307186,-166.5017577307186,-166.5017577307186,311.9320956888899,311.9320956888899,311.9320956888899,-478.43385341960857,-478.43385341960857,-478.43385341960857,0.0,0.0,0.0,1684.3492582201982
33,2021-02-03,1852.0902962021187,1208.049212987769,2029.2002409553063,1851.4310653280097,1853.0373715960916,-227.4671369557776,-227.4671369557776,-227.4671369557776,255.27106750787632,255.27106750787632,255.27106750787632,-482.7382044636539,-482.7382044636539,-482.7382044636539,0.0,0.0,0.0,1624.6231592463412
34,2021-02-04,1853.3295764533202,1186.2027601949812,2047.0649741979325,1852.6358126467474,1854.329053376322,-255.96993653757016,-255.96993653757016,-255.96993653757016,229.73060893215975,229.73060893215975,229.73060893215975,-485.7005454697299,-485.7005454697299,-485.7005454697299,0.0,0.0,0.0,1597.35963991575
35,2021-02-05,1854.5688567045224,1043.495432899007,1928.8075342196862,1853.8177318309156,1855.6872509104373,-382.9654437887467,-382.9654437887467,-382.9654437887467,104.15313224639738,104.15313224639738,104.15313224639738,-487.11857603514403,-487.11857603514403,-487.11857603514403,0.0,0.0,0.0,1471.6034129157756
36,2021-02-06,1855.808136955724,429.37112863386307,1306.6846729762053,1855.0112092674563,1856.973008267983,-985.3418171412612,-985.3418171412612,-985.3418171412612,-498.50433425226606,-498.50433425226606,-498.50433425226606,-486.837482888995,-486.837482888995,-486.837482888995,0.0,0.0,0.0,870.4663198144627
37,2021-02-07,1857.047417206926,285.293812346879,1151.305099910715,1856.153002976001,1858.3853580319867,-1130.5437754837922,-1130.5437754837922,-1130.5437754837922,-645.7903237023438,-645.7903237023438,-645.7903237023438,-484.7534517814484,-484.7534517814484,-484.7534517814484,0.0,0.0,0.0,726.5036417231338
38,2021-02-08,1858.2866974581275,1206.3204678753757,2066.2742082447758,1857.339069911247,1859.7014126593665,-237.60805240388962,-237.60805240388962,-237.60805240388962,243.20775357844005,243.20775357844005,243.20775357844005,-480.8158059823296,-480.8158059823296,-480.8158059823296,0.0,0.0,0.0,1620.678645054238
39,2021-02-09,1859.5259777093295,1255.2524914679639,2108.9156463833774,1858.4385369993186,1860.987161646962,-163.09563433126553,-163.09563433126553,-163.09563433126553,311.9320956888289,311.9320956888289,311.9320956888289,-475.0277300200943,-475.0277300200943,-475.0277300200943,0.0,0.0,0.0,1696.430343378064
40,2021-02-10,1860.7652579605317,1217.3341314819452,2091.8701001479167,1859.603907343477,1862.2710161101418,-212.17450642545182,-212.17450642545182,-212.17450642545182,255.27106750814755,255.27106750814755,255.27106750814755,-467.4455739335994,-467.4455739335994,-467.4455739335994,0.0,0.0,0.0,1648.5907515350798
41,2021-02-11,1862.0045382117332,1217.150596215039,2068.849301013642,1860.6873564987725,1863.5813427222567,-228.44616082759467,-228.44616082759467,-228.44616082759467,229.73060893301718,229.73060893301718,229.73060893301718,-458.1767697606118,-458.1767697606118,-458.1767697606118,0.0,0.0,0.0,1633.5583773841386
42,2021-02-12,1863.2438184629355,1116.501750573131,1955.618512329036,1861.7796970158925,1864.9959310360418,-343.22329506105433,-343.22329506105433,-343.22329506105433,104.15313224653455,104.15313224653455,104.15313224653455,-447.37642730758887,-447.37642730758887,-447.37642730758887,0.0,0.0,0.0,1520.020523401881
43,2021-02-13,1864.483098714137,511.399493969915,1360.521069055406,1862.9809516163302,1866.3973656389649,-933.7470437781587,-933.7470437781587,-933.7470437781587,-498.5043342525317,-498.5043342525317,-498.5043342525317,-435.24270952562716,-435.24270952562716,-435.24270952562716,0.0,0.0,0.0,930.7360549359782
44,2021-02-14,1865.7223789653383,349.2652078089238,1223.2510746525443,1864.1812570454827,1867.766418541657,-1067.8014419150595,-1067.8014419150595,-1067.8014419150595,-645.7903237020498,-645.7903237020498,-645.7903237020498,-422.0111182130097,-422.0111182130097,-422.0111182130097,0.0,0.0,0.0,797.9209370502788
45,2021-02-15,1866.9616592165405,1238.0927408631055,2095.6864636066953,1865.3815624746353,1869.0624325633582,-164.74009393346054,-164.74009393346054,-164.74009393346054,243.20775357883983,243.20775357883983,243.20775357883983,-407.9478475123003,-407.9478475123003,-407.9478475123003,0.0,0.0,0.0,1702.22156528308
46,2021-02-16,1868.2009394677425,1372.4994362123628,2184.781268779809,1866.5470809484,1870.3798478382744,-81.41028941775342,-81.41028941775342,-81.41028941775342,311.9320956887677,311.9320956887677,311.9320956887677,-393.3423851065211,-393.3423851065211,-393.3423851065211,0.0,0.0,0.0,1786.7906500499892
47,2021-02-17,1869.440219718944,1328.8579158345826,2159.7585999815096,1867.6773943656235,1871.6857695603462,-123.22849109679389,-123.22849109679389,-123.22849109679389,255.27106750841884,255.27106750841884,255.27106750841884,-378.49955860521277,-378.49955860521277,-378.49955860521277,0.0,0.0,0.0,1746.21172862215
