,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,3819.518287696618,1457.5252470855385,3398.5989607970964,3819.518287696618,3819.518287696618,-1335.3657308392799,-1335.3657308392799,-1335.3657308392799,130.3406916463798,130.3406916463798,130.3406916463798,-1465.7064224856597,-1465.7064224856597,-1465.7064224856597,0.0,0.0,0.0,2484.152556857338
1,2021-01-02,3827.6544443781086,1081.5969608485757,2951.5597563536867,3827.6544443781086,3827.6544443781086,-1794.1756580880267,-1794.1756580880267,-1794.1756580880267,-344.2348315163252,-344.2348315163252,-344.2348315163252,-1449.940826571702,-1449.940826571702,-1449.940826571702,0.0,0.0,0.0,2033.4787862900819
2,2021-01-03,3835.7906010595966,648.851901362691,2646.2132947866844,3835.7906010595966,3835.7906010595966,-2168.3150503373777,-2168.3150503373777,-2168.3150503373777,-739.014584764208,-739.014584764208,-739.014584764208,-1429.3004655731695,-1429.3004655731695,-1429.3004655731695,0.0,0.0,0.0,1667.475550722219
3,2021-01-04,3843.9267577410874,1661.3807304777574,3524.915502467352,3843.9267577410874,3843.9267577410874,-1244.9740350888035,-1244.9740350888035,-1244.9740350888035,159.4158918223781,159.4158918223781,159.4158918223781,-1404.3899269111816,-1404.3899269111816,-1404.3899269111816,0.0,0.0,0.0,2598.952722652284
4,2021-01-05,3852.0629144225754,1854.156774149837,3706.799913838075,3852.0629144225754,3852.0629144225754,-1077.1699456989631,-1077.1699456989631,-1077.1699456989631,298.71280396749285,298.71280396749285,298.71280396749285,-1375.882749666456,-1375.882749666456,-1375.882749666456,0.0,0.0,0.0,2774.8929687236123
5,2021-01-06,3860.1990711040635,1876.4953163989364,3758.3142548007663,3860.1990711040635,3860.1990711040635,-1079.7729217898107,-1079.7729217898107,-1079.7729217898107,264.730416779746,264.730416779746,264.730416779746,-1344.5033385695565,-1344.5033385695565,-1344.5033385695565,0.0,0.0,0.0,2780.426149314253
6,2021-01-07,3868.335227785554,1800.8551302167473,3731.644892635579,3868.335227785554,3868.335227785554,-1080.9582897932096,-1080.9582897932096,-1080.9582897932096,230.04961206606802,230.04961206606802,230.04961206606802,-1311.0079018592776,-1311.0079018592776,-1311.0079018592776,0.0,0.0,0.0,2787.376937992344
7,2021-01-08,3876.471384467042,1706.235332053961,3675.328341809963,3876.471384467042,3876.471384467042,-1145.8242444758432,-1145.8242444758432,-1145.8242444758432,130.34069164590397,130.34069164590397,130.34069164590397,-1276.1649361217471,-1276.1649361217471,-1276.1649361217471,0.0,0.0,0.0,2730.647139991199
8,2021-01-09,3884.6075411485276,1300.988577961357,3267.4805964009556,3884.6075411485276,3884.6075411485276,-1584.9706186854742,-1584.9706186854742,-1584.9706186854742,-344.23483151664533,-344.23483151664533,-344.23483151664533,-1240.7357871688287,-1240.7357871688287,-1240.7357871688287,0.0,0.0,0.0,2299.6369224630535
9,2021-01-10,3892.7436978300207,977.6139509168439,2841.4842208139776,3892.7436978300207,3892.7436978300207,-1944.4703920681122,-1944.4703920681122,-1944.4703920681122,-739.0145847651667,-739.0145847651667,-739.0145847651667,-1205.4558073029455,-1205.4558073029455,-1205.4558073029455,0.0,0.0,0.0,1948.2733057619084
10,2021-01-11,3900.879854511506,1981.2788044308668,3945.606964588364,3900.879854511506,3900.879854511506,-1011.6007144829092,-1011.6007144829092,-1011.6007144829092,159.41589181997313,159.41589181997313,159.41589181997313,-1171.0166063028826,-1171.0166063028826,-1171.0166063028826,0.0,0.0,0.0,2889.279140028597
11,2021-01-12,3909.0160111929995,2153.8439849544593,4032.559269932392,3909.0160111929995,3909.0160111929995,-839.3370529608943,-839.3370529608943,-839.3370529608943,298.71280396706527,298.71280396706527,298.71280396706527,-1138.0498569279598,-1138.0498569279598,-1138.0498569279598,0.0,0.0,0.0,3069.6789582321053
