,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,3392.2125508352024,887.8970426421907,2671.6944062251364,3392.2125508352024,3392.2125508352024,-1604.3083736490005,-1604.3083736490005,-1604.3083736490005,121.3269198036825,121.3269198036825,121.3269198036825,-1725.6352934526826,-1725.6352934526826,-1725.6352934526826,0.0,0.0,0.0,1787.9041771862019
1,2021-01-02,3393.999048400431,386.56275930822954,2178.7258580087437,3393.999048400431,3393.999048400431,-2114.9106298110555,-2114.9106298110555,-2114.9106298110555,-397.85423999587044,-397.85423999587044,-397.85423999587044,-1717.0563898151852,-1717.0563898151852,-1717.0563898151852,0.0,0.0,0.0,1279.0884185893756
2,2021-01-03,3395.785545965659,-61.938207535864116,1720.2768922296862,3395.785545965659,3395.785545965659,-2557.0138760365635,-2557.0138760365635,-2557.0138760365635,-853.9556336612958,-853.9556336612958,-853.9556336612958,-1703.0582423752674,-1703.0582423752674,-1703.0582423752674,0.0,0.0,0.0,838.7716699290954
3,2021-01-04,3397.572043530887,1032.7606768949372,2737.14969311827,3397.572043530887,3397.572043530887,-1494.3472121601778,-1494.3472121601778,-1494.3472121601778,189.64266153200282,189.64266153200282,189.64266153200282,-1683.9898736921803,-1683.9898736921803,-1683.9898736921803,0.0,0.0,0.0,1903.2248313707094
4,2021-01-05,3399.358541096115,1187.313910109264,2888.5722748058083,3399.358541096115,3399.358541096115,-1317.682459052767,-1317.682459052767,-1317.682459052767,342.61597817201414,342.61597817201414,342.61597817201414,-1660.298437224781,-1660.298437224781,-1660.298437224781,0.0,0.0,0.0,2081.6760820433483
5,2021-01-06,3401.145038661343,1213.7545128494085,2985.5024140483556,3401.145038661343,3401.145038661343,-1307.0597590757595,-1307.0597590757595,-1307.0597590757595,325.4600903250991,325.4600903250991,325.4600903250991,-1632.5198494008587,-1632.5198494008587,-1632.5198494008587,0.0,0.0,0.0,2094.0852795855835
6,2021-01-07,3402.931536226571,1195.3321395790413,3059.9331430883317,3402.931536226571,3402.931536226571,-1328.5029443373444,-1328.5029443373444,-1328.5029443373444,272.7642238261206,272.7642238261206,272.7642238261206,-1601.2671681634652,-1601.2671681634652,-1601.2671681634652,0.0,0.0,0.0,2074.4285918892265
7,2021-01-08,3404.718033791798,1101.4696393675995,2794.0652933097595,3404.718033791798,3404.718033791798,-1445.8900783140532,-1445.8900783140532,-1445.8900783140532,121.3269198031174,121.3269198031174,121.3269198031174,-1567.2169981171708,-1567.2169981171708,-1567.2169981171708,0.0,0.0,0.0,1958.8279554777448
8,2021-01-09,3406.504531357026,627.1562999132943,2334.9112652000595,3406.504531357026,3406.504531357026,-1928.9484962729514,-1928.9484962729514,-1928.9484962729514,-397.854239996217,-397.854239996217,-397.854239996217,-1531.094256276734,-1531.094256276734,-1531.094256276734,0.0,0.0,0.0,1477.5560350840744
9,2021-01-10,3408.2910289222546,222.69232067999747,1947.4920649431506,3408.2910289222546,3408.2910289222546,-2347.6113113404886,-2347.6113113404886,-2347.6113113404886,-853.9556336624165,-853.9556336624165,-853.9556336624165,-1493.6556776780724,-1493.6556776780724,-1493.6556776780724,0.0,0.0,0.0,1060.679717581766
10,2021-01-11,3410.077526487482,1238.2204625076952,3038.4816294060156,3410.077526487482,3410.077526487482,-1266.029813938501,-1266.029813938501,-1266.029813938501,189.64266152925387,189.64266152925387,189.64266152925387,-1455.6724754677552,-1455.6724754677552,-1455.6724754677552,0.0,0.0,0.0,2144.0477125489806
11,2021-01-12,3411.8640240527106,1463.5761352993375,3238.717832001112,3411.8640240527106,3411.8640240527106,-1075.296616369901,-1075.296616369901,-1075.296616369901,342.6159781714892,342.6159781714892,342.6159781714892,-1417.9125945413898,-1417.9125945413898,-1417.9125945413898,0.0,0.0,0.0,2336.56740768281
12,2021-01-13,3413.6505216179385,1468.7833958443905,3277.579178798323,3413.6505216179385,3413.6505216179385,-1055.6629203053758,-1055.6629203053758,-1055.6629203053758,325.4600903257154,325.4600903257154,325.4600903257154,-1381.1230106310913,-1381.1230106310913,-1381.1230106310913,0.0,0.0,0.0,2357.9876013125627
13,2021-01-14,3415.437019183166,1431.9986734174358,3111.022858816265,3415.437019183166,3415.437019183166,-1073.2483037323334,-1073.2483037323334,-1073.2483037323334,272.76422382647235,272.76422382647235,272.76422382647235,-1346.0125275588057,-1346.0125275588057,-1346.0125275588057,0.0,0.0,0.0,2342.188715450832
14,2021-01-15,3417.2235167483946,1329.0901232641927,3097.95396202375,3417.2235167483946,3417.2235167483946,-1191.9085942935035,-1191.9085942935035,-1191.9085942935035,121.32691980255235,121.32691980255235,121.32691980255235,-1313.2355140960558,-1313.2355140960558,-1313.2355140960558,0.0,0.0,0.0,2225.314922454891
15,2021-01-16,3419.0100143136224,962.4840405955157,2577.742188479551,3419.0100143136224,3419.0100143136224,-1681.2312387560787,-1681.2312387560787,-1681.2312387560787,-397.85423999727345,-397.85423999727345,-397.85423999727345,-1283.376998758805,-1283.376998758805,-1283.376998758805,0.0,0.0,0.0,1737.7787755575437
16,2021-01-17,3420.7965118788507,385.77222529806954,2225.184437187591,3420.782202780379,3420.7965118788507,-2110.8951401769455,-2110.8951401769455,-2110.8951401769455,-853.9556336624604,-853.9556336624604,-853.9556336624604,-1256.9395065144847,-1256.9395065144847,-1256.9395065144847,0.0,0.0,0.0,1309.9013717019052
17,2021-01-18,3422.5830094440785,1489.7921460106893,3225.2223409747894,3422.536336933724,3422.5830094440785,-1044.6893151256672,-1044.6893151256672,-1044.6893151256672,189.64266153001574,189.64266153001574,189.64266153001574,-1234.3319766556829,-1234.3319766556829,-1234.3319766556829,0.0,0.0,0.0,2377.8936943184112
18,2021-01-19,3424.3695070093063,1693.8334796131496,3379.61785778726,3424.2755998634902,3424.3927254883906,-873.2450690305275,-873.2450690305275,-873.2450690305275,342.61597817227727,342.61597817227727,342.61597817227727,-1215.8610472028045,-1215.8610472028045,-1215.8610472028045,0.0,0.0,0.0,2551.1244379787786
