Zaehlstelle,Beschreibung - Fahrtrichtung,Breitengrad,Laengengrad,Installationsdatum
schw,Schwedter Steg,52.548835541248,13.4003668365479,2012-03-01
jann,Jannowitzbrücke Nord,52.51393215939899,13.41783460946187,2015-04-01
jans,Jannowitzbrücke Süd,52.5139429938464,13.417611074205,2015-04-01
prin,Prinzregentenstraße,52.488135580706334,13.33311990737359,2015-04-01
yoro,Yorckstraße Ost,52.4919379605113,13.373472267973568,2015-04-01
yorw,Yorkstraße West,52.49228,13.37321,2015-04-01
monu,Monumentenstraße,52.488117,13.369785,2015-05-01
mark,Markstraße,52.55819,13.3649435,2015-05-01
invo,Invalidenstraße Ost,52.5271768961928,13.3720158872605,2015-06-01
invw,Invalidenstraße West,52.5276860197938,13.3731048641205,2015-06-01
obeo,Oberbaumbrücke Ost,52.5011988679576,13.445060485363,2015-06-01
obew,Oberbaumbrücke West,52.5012756085914,13.444867366314,2015-06-01
paul,Paul-und-Paula-Uferweg,52.50025,13.47438,2015-06-01
albe,Alberichstraße,52.4925,13.55849,2015-07-01
bern,Berliner Straße Nord,52.56692362,13.41248937,2016-05-01
bers,Berliner Straße Süd,52.56681286,13.41216649,2016-05-01
klos,Klosterstraße Süd,52.53330769478785,13.198487973304143,2016-05-01
klon,Klosterstraße Nord,52.53351245116568,13.199052742313857,2016-06-01
breo,Breitenbachplatz Ost,52.4667601926523,13.3091647731717,2016-05-01
brew,Breitenbachplatz West,52.467215435872,13.3083600753752,2016-05-01
marn,Mariendorfer Damm Nord,52.437894232432924,13.387845298728044,2016-05-01
mars,Mariendorfer Damm Süd,52.43819205808581,13.387986915344218,2016-05-01
mayb,Maybachufer,52.493,13.429,2016-05-01
kais,Kaisersteg,52.45727,13.5187,2016-05-01
frao,Frankfurter Allee Ost,52.513584,13.474242,2016-06-01
fraw,Frankfurter Allee West,52.51379,13.474414,2016-06-01
